geoid,state_abbr,state_name,county_name
01027,AL,Alabama,Clay
01045,AL,Alabama,Dale
01071,AL,Alabama,Jackson
01079,AL,Alabama,Lawrence
01081,AL,Alabama,Lee
01107,AL,Alabama,Pickens
02070,AK,Alaska,Dillingham
02100,AK,Alaska,Haines
04027,AZ,Arizona,Yuma
05005,AR,Arkansas,Baxter
05007,AR,Arkansas,Benton
05017,AR,Arkansas,Chicot
05027,AR,Arkansas,Columbia
05037,AR,Arkansas,Cross
05043,AR,Arkansas,Drew
05047,AR,Arkansas,Franklin
05081,AR,Arkansas,Little River
05083,AR,Arkansas,Logan
05097,AR,Arkansas,Montgomery
05103,AR,Arkansas,Ouachita
05111,AR,Arkansas,Poinsett
05113,AR,Arkansas,Polk
05127,AR,Arkansas,Scott
05131,AR,Arkansas,Sebastian
05143,AR,Arkansas,Washington
01091,AL,Alabama,Marengo
06029,CA,California,Kern
06033,CA,California,Lake
01001,AL,Alabama,Autauga
06075,CA,California,San Francisco
06103,CA,California,Tehama
04001,AZ,Arizona,Apache
06115,CA,California,Yuba
08014,CO,Colorado,Broomfield
08029,CO,Colorado,Delta
01061,AL,Alabama,Geneva
08043,CO,Colorado,Fremont
08069,CO,Colorado,Larimer
08079,CO,Colorado,Mineral
01039,AL,Alabama,Covington
08113,CO,Colorado,San Miguel
08117,CO,Colorado,Summit
06003,CA,California,Alpine
05057,AR,Arkansas,Hempstead
01051,AL,Alabama,Elmore
04007,AZ,Arizona,Gila
12013,FL,Florida,Calhoun
12015,FL,Florida,Charlotte
02282,AK,Alaska,Yakutat
12027,FL,Florida,DeSoto
01003,AL,Alabama,Baldwin
12035,FL,Florida,Flagler
12037,FL,Florida,Franklin
01077,AL,Alabama,Lauderdale
12079,FL,Florida,Madison
06079,CA,California,San Luis Obispo
12097,FL,Florida,Osceola
12101,FL,Florida,Pasco
05105,AR,Arkansas,Perry
01111,AL,Alabama,Randolph
13021,GA,Georgia,Bibb
13039,GA,Georgia,Camden
06037,CA,California,Los Angeles
13095,GA,Georgia,Dougherty
05021,AR,Arkansas,Clay
06095,CA,California,Solano
05101,AR,Arkansas,Newton
13185,GA,Georgia,Lowndes
06069,CA,California,San Benito
13205,GA,Georgia,Mitchell
01113,AL,Alabama,Russell
05149,AR,Arkansas,Yell
01017,AL,Alabama,Chambers
13263,GA,Georgia,Talbot
13269,GA,Georgia,Taylor
02105,AK,Alaska,Hoonah-Angoon
13285,GA,Georgia,Troup
13301,GA,Georgia,Warren
13307,GA,Georgia,Webster
02230,AK,Alaska,Skagway
16027,ID,Idaho,Canyon
16053,ID,Idaho,Jerome
16071,ID,Idaho,Oneida
16079,ID,Idaho,Shoshone
01123,AL,Alabama,Tallapoosa
17009,IL,Illinois,Brown
17021,IL,Illinois,Christian
17023,IL,Illinois,Clark
17031,IL,Illinois,Cook
04017,AZ,Arizona,Navajo
17049,IL,Illinois,Effingham
01103,AL,Alabama,Morgan
17093,IL,Illinois,Kendall
02016,AK,Alaska,Aleutians West
17137,IL,Illinois,Morgan
17147,IL,Illinois,Piatt
17167,IL,Illinois,Sangamon
04021,AZ,Arizona,Pinal
04005,AZ,Arizona,Coconino
18083,IN,Indiana,Knox
18089,IN,Indiana,Lake
04019,AZ,Arizona,Pima
18111,IN,Indiana,Newton
05067,AR,Arkansas,Jackson
18119,IN,Indiana,Owen
18123,IN,Indiana,Perry
18125,IN,Indiana,Pike
18143,IN,Indiana,Scott
18163,IN,Indiana,Vanderburgh
05069,AR,Arkansas,Jefferson
19007,IA,Iowa,Appanoose
05129,AR,Arkansas,Searcy
01085,AL,Alabama,Lowndes
01069,AL,Alabama,Houston
01019,AL,Alabama,Cherokee
19051,IA,Iowa,Davis
19053,IA,Iowa,Decatur
05041,AR,Arkansas,Desha
05099,AR,Arkansas,Nevada
01063,AL,Alabama,Greene
19083,IA,Iowa,Hardin
19115,IA,Iowa,Louisa
19123,IA,Iowa,Mahaska
19143,IA,Iowa,Osceola
19147,IA,Iowa,Palo Alto
01055,AL,Alabama,Etowah
19163,IA,Iowa,Scott
01037,AL,Alabama,Coosa
20001,KS,Kansas,Allen
20007,KS,Kansas,Barber
20019,KS,Kansas,Chautauqua
20029,KS,Kansas,Cloud
20107,KS,Kansas,Linn
20115,KS,Kansas,Marion
20133,KS,Kansas,Neosho
20139,KS,Kansas,Osage
20153,KS,Kansas,Rawlins
06009,CA,California,Calaveras
20195,KS,Kansas,Trego
20203,KS,Kansas,Wichita
01029,AL,Alabama,Cleburne
21027,KY,Kentucky,Breckinridge
21031,KY,Kentucky,Butler
06059,CA,California,Orange
21041,KY,Kentucky,Carroll
21053,KY,Kentucky,Clinton
21069,KY,Kentucky,Fleming
21075,KY,Kentucky,Fulton
21087,KY,Kentucky,Green
05055,AR,Arkansas,Greene
01035,AL,Alabama,Conecuh
21125,KY,Kentucky,Laurel
21129,KY,Kentucky,Lee
21147,KY,Kentucky,McCreary
21155,KY,Kentucky,Marion
21165,KY,Kentucky,Menifee
21175,KY,Kentucky,Morgan
06007,CA,California,Butte
21237,KY,Kentucky,Wolfe
22015,LA,Louisiana,Bossier
22021,LA,Louisiana,Caldwell
22049,LA,Louisiana,Jackson
05135,AR,Arkansas,Sharp
22103,LA,Louisiana,St. Tammany
22123,LA,Louisiana,West Carroll
02060,AK,Alaska,Bristol Bay
23005,ME,Maine,Cumberland
23027,ME,Maine,Waldo
05091,AR,Arkansas,Miller
24015,MD,Maryland,Cecil
01109,AL,Alabama,Pike
25005,MA,Massachusetts,Bristol
25011,MA,Massachusetts,Franklin
25021,MA,Massachusetts,Norfolk
06047,CA,California,Merced
26003,MI,Michigan,Alger
26017,MI,Michigan,Bay
01105,AL,Alabama,Perry
26047,MI,Michigan,Emmet
02013,AK,Alaska,Aleutians East
04003,AZ,Arizona,Cochise
26095,MI,Michigan,Luce
26113,MI,Michigan,Missaukee
26155,MI,Michigan,Shiawassee
08059,CO,Colorado,Jefferson
12043,FL,Florida,Glades
27045,MN,Minnesota,Fillmore
13147,GA,Georgia,Hart
27073,MN,Minnesota,Lac qui Parle
13155,GA,Georgia,Irwin
27121,MN,Minnesota,Pope
27127,MN,Minnesota,Redwood
27141,MN,Minnesota,Sherburne
28007,MS,Mississippi,Attala
28025,MS,Mississippi,Clay
28027,MS,Mississippi,Coahoma
28035,MS,Mississippi,Forrest
28047,MS,Mississippi,Harrison
28051,MS,Mississippi,Holmes
28067,MS,Mississippi,Jones
13051,GA,Georgia,Chatham
12131,FL,Florida,Walton
13063,GA,Georgia,Clayton
13159,GA,Georgia,Jasper
12075,FL,Florida,Levy
13105,GA,Georgia,Elbert
28125,MS,Mississippi,Sharkey
12069,FL,Florida,Lake
28151,MS,Mississippi,Washington
29039,MO,Missouri,Cedar
08111,CO,Colorado,San Juan
13133,GA,Georgia,Greene
29061,MO,Missouri,Daviess
12087,FL,Florida,Monroe
29095,MO,Missouri,Jackson
29103,MO,Missouri,Knox
08013,CO,Colorado,Boulder
01041,AL,Alabama,Crenshaw
29115,MO,Missouri,Linn
08063,CO,Colorado,Kit Carson
29197,MO,Missouri,Schuyler
29223,MO,Missouri,Wayne
30019,MT,Montana,Daniels
30025,MT,Montana,Fallon
30059,MT,Montana,Meagher
12041,FL,Florida,Gilchrist
08081,CO,Colorado,Moffat
30103,MT,Montana,Treasure
13151,GA,Georgia,Henry
01067,AL,Alabama,Henry
31045,NE,Nebraska,Dawes
31079,NE,Nebraska,Hall
31093,NE,Nebraska,Howard
13005,GA,Georgia,Bacon
31115,NE,Nebraska,Loup
13071,GA,Georgia,Colquitt
31143,NE,Nebraska,Polk
08019,CO,Colorado,Clear Creek
31159,NE,Nebraska,Seward
31165,NE,Nebraska,Sioux
32003,NV,Nevada,Clark
06111,CA,California,Ventura
32017,NV,Nevada,Lincoln
08105,CO,Colorado,Rio Grande
32019,NV,Nevada,Lyon
32021,NV,Nevada,Mineral
06073,CA,California,San Diego
33019,NH,New Hampshire,Sullivan
34015,NJ,New Jersey,Gloucester
34021,NJ,New Jersey,Mercer
05125,AR,Arkansas,Saline
36003,NY,New York,Allegany
06071,CA,California,San Bernardino
05085,AR,Arkansas,Lonoke
36047,NY,New York,Kings
02170,AK,Alaska,Matanuska-Susitna
36059,NY,New York,Nassau
36067,NY,New York,Onondaga
36083,NY,New York,Rensselaer
01043,AL,Alabama,Cullman
36111,NY,New York,Ulster
01095,AL,Alabama,Marshall
01015,AL,Alabama,Calhoun
01089,AL,Alabama,Madison
06049,CA,California,Modoc
37087,NC,North Carolina,Haywood
37093,NC,North Carolina,Hoke
05137,AR,Arkansas,Stone
05095,AR,Arkansas,Monroe
37171,NC,North Carolina,Surry
01065,AL,Alabama,Hale
01099,AL,Alabama,Monroe
38021,ND,North Dakota,Dickey
38067,ND,North Dakota,Pembina
38087,ND,North Dakota,Slope
38103,ND,North Dakota,Wells
39003,OH,Ohio,Allen
39027,OH,Ohio,Clinton
01083,AL,Alabama,Limestone
39077,OH,Ohio,Huron
39083,OH,Ohio,Knox
06081,CA,California,San Mateo
39109,OH,Ohio,Miami
39111,OH,Ohio,Monroe
05023,AR,Arkansas,Cleburne
39135,OH,Ohio,Preble
39137,OH,Ohio,Putnam
39141,OH,Ohio,Ross
39145,OH,Ohio,Scioto
39147,OH,Ohio,Seneca
01007,AL,Alabama,Bibb
