year,geoid,measure_id,data_value,ci_low,ci_high,population,population_18plus
2022,01027,CASTHMA,11.0,9.6,12.4,14198,11235
2022,01045,ARTHRITIS,35.6,34.8,36.4,49544,38039
2022,01071,STROKE,5.1,4.6,5.6,52891,42087
2022,01079,DISABILITY,40.1,35.5,44.7,33214,26022
2022,01081,STROKE,3.3,3.0,3.6,180773,143546
2022,01107,ARTHRITIS,37.1,36.5,37.6,18697,15176
2022,02070,OBESITY,37.3,30.6,44.1,4723,3253
2022,02100,ARTHRITIS,27.3,25.8,28.9,2056,1705
2022,04027,ARTHRITIS,26.4,26.3,26.5,207842,155973
2022,05005,DIABETES,16.8,14.6,19.1,42435,34886
2022,05007,STROKE,2.9,2.6,3.1,302863,226571
2022,05017,DEPRESSION,23.1,19.5,27.0,9873,7738
2022,05027,STROKE,4.5,4.1,4.9,22216,17519
2022,05037,DISABILITY,41.9,37.3,46.4,16601,12703
2022,05043,COGNITION,18.8,16.9,20.9,16911,13179
2022,05047,MHLTH,21.0,18.9,23.1,17271,13428
2022,05081,STROKE,4.7,4.3,5.1,11821,9241
2022,05083,STROKE,5.0,4.5,5.4,21253,16839
2022,05097,STROKE,5.7,5.2,6.3,8556,7012
2022,05103,TEETHLOST,25.8,21.8,30.1,22049,17132
2022,05111,STROKE,5.3,4.9,5.8,22495,17104
2022,05113,DEPRESSION,28.0,24.1,32.1,19337,15084
2022,05127,BINGE,14.7,11.8,18.1,9805,7554
2022,05131,ARTHRITIS,31.1,31.0,31.2,129059,98606
2022,05143,STROKE,3.3,3.0,3.6,256054,196886
2022,01091,ARTHRITIS,38.9,37.2,40.6,18745,14573
2022,06029,MHLTH,18.8,17.0,20.6,916108,655754
2022,06033,CASTHMA,10.8,9.6,12.2,68191,53338
2022,01001,CASTHMA,10.0,8.8,11.4,59759,45878
2022,06075,ARTHRITIS,19.2,19.0,19.4,808437,697737
2022,06103,STROKE,4.1,3.7,4.5,65245,49780
2022,04001,ARTHRITIS,32.0,31.8,32.2,65432,48388
2022,06115,CASTHMA,11.1,9.8,12.5,84310,61597
2022,08014,STROKE,2.1,1.9,2.3,76121,60738
2022,08029,DIABETES,11.6,10.0,13.4,31602,25555
2022,01061,CASTHMA,10.5,9.2,12.0,26783,20925
2022,08043,ARTHRITIS,29.0,28.5,29.5,49621,41819
2022,08069,ARTHRITIS,24.4,23.9,24.9,366778,300441
2022,08079,STROKE,4.1,3.7,4.5,931,811
2022,01039,DISABILITY,36.3,32.0,40.7,37602,29340
2022,08113,OBESITY,25.7,19.4,32.8,8003,6720
