year,calendar,source_table
1999,calendar year,"NCHS Leading Causes of Death, United States"
2000,calendar year,"NCHS Leading Causes of Death, United States"
2001,calendar year,"NCHS Leading Causes of Death, United States"
2002,calendar year,"NCHS Leading Causes of Death, United States"
2003,calendar year,"NCHS Leading Causes of Death, United States"
2004,calendar year,"NCHS Leading Causes of Death, United States"
2005,calendar year,"NCHS Leading Causes of Death, United States"
2006,calendar year,"NCHS Leading Causes of Death, United States"
2007,calendar year,"NCHS Leading Causes of Death, United States"
2008,calendar year,"NCHS Leading Causes of Death, United States"
2009,calendar year,"NCHS Leading Causes of Death, United States"
2010,calendar year,"NCHS Leading Causes of Death, United States"
2011,calendar year,"NCHS Leading Causes of Death, United States"
2012,calendar year,"NCHS Leading Causes of Death, United States"
2013,calendar year,"NCHS Leading Causes of Death, United States"
2014,calendar year,"NCHS Leading Causes of Death, United States"
2015,calendar year,"NCHS Leading Causes of Death, United States"
2016,calendar year,"NCHS Leading Causes of Death, United States"
2017,calendar year,"NCHS Leading Causes of Death, United States"
