year,geo_name,short_indicator_text,long_indicator_text,stratification1,stratification_group1,stratification2,stratification_group2,cost_value
2021,Illinois,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Males,Age,19+,6712.5
2021,Nebraska,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,65+,868.7
2021,Ohio,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,19+,13848.7
2021,Rhode Island,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Females,Age,19+,958.0
2021,South Dakota,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Males,Age,19-64,689.0
2021,United States,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Females,Age,19-64,21083.0
2021,Alaska,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-74,23.2
2021,Arkansas,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Males,Age,75+,269.0
2021,Connecticut,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-44,69.9
2021,Delaware,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Females,Age,75+,387.0
2021,Georgia,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,,,,,2577.0
2021,Georgia,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-74,2630.0
2021,Georgia,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Overall,Age,18-44,544.4
2021,Idaho,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,,,,,306.0
2021,Indiana,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Males,Age,18+,281.0
2021,Kentucky,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-44,3180.0
2021,Kentucky,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Males,Age,45-64,3334.0
2021,Louisiana,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,65-74,72.0
