geoid,state_abbr,county_name
02013,AK,Aleutians East
02016,AK,Aleutians West
02020,AK,Anchorage
02050,AK,Bethel
02060,AK,Bristol Bay
02068,AK,Denali
02070,AK,Dillingham
02090,AK,Fairbanks North Star
02100,AK,Haines
02105,AK,Hoonah-Angoon
02110,AK,Juneau
02122,AK,Kenai Peninsula
02130,AK,Ketchikan Gateway
02150,AK,Kodiak Island
02158,AK,Kusilvak
02164,AK,Lake and Peninsula
02170,AK,Matanuska-Susitna
02180,AK,Nome
02185,AK,North Slope
02188,AK,Northwest Arctic
02195,AK,Petersburg
02198,AK,Prince of Wales-Hyder
02220,AK,Sitka
02230,AK,Skagway
02240,AK,Southeast Fairbanks
02261,AK,Valdez-Cordova
02275,AK,Wrangell
02282,AK,Yakutat
02290,AK,Yukon-Koyukuk
01001,AL,Autauga County
01003,AL,Baldwin County
01005,AL,Barbour County
01007,AL,Bibb County
01009,AL,Blount County
01011,AL,Bullock County
01013,AL,Butler County
01015,AL,Calhoun County
01017,AL,Chambers County
01019,AL,Cherokee County
01021,AL,Chilton County
01023,AL,Choctaw County
01025,AL,Clarke County
01027,AL,Clay County
01029,AL,Cleburne County
01031,AL,Coffee County
01033,AL,Colbert County
01035,AL,Conecuh County
01037,AL,Coosa County
01039,AL,Covington County
01041,AL,Crenshaw County
01043,AL,Cullman County
01045,AL,Dale County
01047,AL,Dallas County
01049,AL,DeKalb County
01051,AL,Elmore County
01053,AL,Escambia County
01055,AL,Etowah County
01057,AL,Fayette County
01059,AL,Franklin County
01061,AL,Geneva County
01063,AL,Greene County
01065,AL,Hale County
01067,AL,Henry County
01069,AL,Houston County
01071,AL,Jackson County
01073,AL,Jefferson County
01075,AL,Lamar County
01077,AL,Lauderdale County
01079,AL,Lawrence County
01081,AL,Lee County
01083,AL,Limestone County
01085,AL,Lowndes County
01087,AL,Macon County
01089,AL,Madison County
01091,AL,Marengo County
01093,AL,Marion County
01095,AL,Marshall County
01097,AL,Mobile County
01099,AL,Monroe County
01101,AL,Montgomery County
01103,AL,Morgan County
01105,AL,Perry County
01107,AL,Pickens County
01109,AL,Pike County
01111,AL,Randolph County
01113,AL,Russell County
01115,AL,St. Clair County
01117,AL,Shelby County
01119,AL,Sumter County
01121,AL,Talladega County
01123,AL,Tallapoosa County
01125,AL,Tuscaloosa County
01127,AL,Walker County
01129,AL,Washington County
01131,AL,Wilcox County
01133,AL,Winston County
05001,AR,Arkansas County
05003,AR,Ashley County
05005,AR,Baxter County
05007,AR,Benton County
05009,AR,Boone County
05011,AR,Bradley County
05013,AR,Calhoun County
05015,AR,Carroll County
05017,AR,Chicot County
05019,AR,Clark County
05021,AR,Clay County
05023,AR,Cleburne County
05025,AR,Cleveland County
05027,AR,Columbia County
05029,AR,Conway County
05031,AR,Craighead County
05033,AR,Crawford County
05035,AR,Crittenden County
05037,AR,Cross County
05039,AR,Dallas County
05041,AR,Desha County
05043,AR,Drew County
05045,AR,Faulkner County
05047,AR,Franklin County
05049,AR,Fulton County
05051,AR,Garland County
05053,AR,Grant County
05055,AR,Greene County
05057,AR,Hempstead County
05059,AR,Hot Spring County
05061,AR,Howard County
05063,AR,Independence County
05065,AR,Izard County
05067,AR,Jackson County
05069,AR,Jefferson County
05071,AR,Johnson County
05073,AR,Lafayette County
05075,AR,Lawrence County
05077,AR,Lee County
05079,AR,Lincoln County
05081,AR,Little River County
05083,AR,Logan County
05085,AR,Lonoke County
05087,AR,Madison County
05089,AR,Marion County
05091,AR,Miller County
05093,AR,Mississippi County
05095,AR,Monroe County
05097,AR,Montgomery County
05099,AR,Nevada County
05101,AR,Newton County
05103,AR,Ouachita County
05105,AR,Perry County
05107,AR,Phillips County
05109,AR,Pike County
05111,AR,Poinsett County
05113,AR,Polk County
05115,AR,Pope County
05117,AR,Prairie County
05119,AR,Pulaski County
05121,AR,Randolph County
05123,AR,St. Francis County
05125,AR,Saline County
05127,AR,Scott County
05129,AR,Searcy County
05131,AR,Sebastian County
05133,AR,Sevier County
05135,AR,Sharp County
05137,AR,Stone County
05139,AR,Union County
05141,AR,Van Buren County
05143,AR,Washington County
05145,AR,White County
05147,AR,Woodruff County
05149,AR,Yell County
60000,AS,American Samoa County
04001,AZ,Apache County
04003,AZ,Cochise County
04005,AZ,Coconino County
04007,AZ,Gila County
04009,AZ,Graham County
04011,AZ,Greenlee County
04012,AZ,La Paz County
04013,AZ,Maricopa County
04015,AZ,Mohave County
04017,AZ,Navajo County
04019,AZ,Pima County
04021,AZ,Pinal County
04023,AZ,Santa Cruz County
04025,AZ,Yavapai County
04027,AZ,Yuma County
06001,CA,Alameda County
06003,CA,Alpine County
06005,CA,Amador County
06007,CA,Butte County
06009,CA,Calaveras County
06011,CA,Colusa County
06013,CA,Contra Costa County
06015,CA,Del Norte County
06017,CA,El Dorado County
06019,CA,Fresno County
06021,CA,Glenn County
06023,CA,Humboldt County
06025,CA,Imperial County
06027,CA,Inyo County
06029,CA,Kern County
06031,CA,Kings County
06033,CA,Lake County
06035,CA,Lassen County
06037,CA,Los Angeles County
06039,CA,Madera County
06041,CA,Marin County
06043,CA,Mariposa County
06045,CA,Mendocino County
06047,CA,Merced County
06049,CA,Modoc County
06051,CA,Mono County
06053,CA,Monterey County
06055,CA,Napa County
06057,CA,Nevada County
06059,CA,Orange County
06061,CA,Placer County
06063,CA,Plumas County
06065,CA,Riverside County
06067,CA,Sacramento County
06069,CA,San Benito County
06071,CA,San Bernardino County
06073,CA,San Diego County
06075,CA,San Francisco County
06077,CA,San Joaquin County
06079,CA,San Luis Obispo County
06081,CA,San Mateo County
06083,CA,Santa Barbara County
06085,CA,Santa Clara County
06087,CA,Santa Cruz County
06089,CA,Shasta County
06091,CA,Sierra County
06093,CA,Siskiyou County
06095,CA,Solano County
06097,CA,Sonoma County
06099,CA,Stanislaus County
06101,CA,Sutter County
06103,CA,Tehama County
06105,CA,Trinity County
06107,CA,Tulare County
06109,CA,Tuolumne County
06111,CA,Ventura County
06113,CA,Yolo County
06115,CA,Yuba County
08001,CO,Adams County
08003,CO,Alamosa County
08005,CO,Arapahoe County
08007,CO,Archuleta County
08009,CO,Baca County
08011,CO,Bent County
08013,CO,Boulder County
08014,CO,Broomfield County
08015,CO,Chaffee County
08017,CO,Cheyenne County
08019,CO,Clear Creek County
08021,CO,Conejos County
08023,CO,Costilla County
08025,CO,Crowley County
08027,CO,Custer County
08029,CO,Delta County
08031,CO,Denver County
08033,CO,Dolores County
08035,CO,Douglas County
