year,geoid,sex,race_ethnicity,rate,unit,rate_type
2022,02013,Overall,Overall,18.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02016,Overall,Overall,21.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02020,Overall,Overall,71.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02050,Overall,Overall,164.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02060,Overall,Overall,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02068,Overall,Overall,82.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02070,Overall,Overall,165.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02090,Overall,Overall,76.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02100,Overall,Overall,46.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02105,Overall,Overall,59.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02110,Overall,Overall,45.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02122,Overall,Overall,57.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02130,Overall,Overall,28.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02150,Overall,Overall,54.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02158,Overall,Overall,34.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02164,Overall,Overall,44.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02170,Overall,Overall,82.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02180,Overall,Overall,84.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02185,Overall,Overall,77.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02188,Overall,Overall,81.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02195,Overall,Overall,45.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
