pubmed_id,first_author,pub_date,journal,study_title
41044249,Zoodsma M,2025-10-03,Nat Genet,A genetic map of human metabolism across the allele frequency spectrum.
35347128,Yin X,2022-03-28,Nat Commun,Genome-wide association studies of metabolites in Finnish men identify disease-relevant loci.
38412862,Suhre K,2024-02-20,Cell Genom,Genetic associations with ratios between protein levels detect new pQTLs and reveal protein-protein interactions.
40770095,UK Biobank Whole-Genome Sequencing Consortium,2025-08-06,Nature,"Whole-genome sequencing of 490,640 UK Biobank participants."
33462484,Sinnott-Armstrong N,2021-01-18,Nat Genet,Genetics of 35 blood and urine biomarkers in the UK Biobank.
41896352,Kim HI,2026-03-27,Nat Genet,"Exome sequencing and analysis of 44,028 British South Asians enriched for high autozygosity."
29875488,Sun BB,2018-06-06,Nature,Genomic atlas of the human plasma proteome.
32888493,Chen MH,2020-09-01,Cell,"Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations."
40436827,Jee YH,2025-05-28,Nat Commun,Genome-wide association studies in a large Korean cohort identify quantitative trait loci for 36 traits and illuminate their genetic architectures.
34594039,Sakaue S,2021-09-30,Nat Genet,A cross-population atlas of genetic associations for 220 human phenotypes.
32888494,Vuckovic D,2020-09-01,Cell,The Polygenic and Monogenic Basis of Blood Traits and Diseases.
42097137,Koprulu M,2026-05-06,Cell,Multi-cohort proteogenomic analyses reveal genetic effects across the proteome and diseasome.
33887147,Young WJ,2021-04-22,Circ Genom Precis Med,Genetically-Determined Serum Calcium Levels and Markers of Ventricular Repolarisation: A Mendelian Randomization Study in the UK Biobank.
36357675,Surendran P,2022-11-10,Nat Med,Rare and common genetic determinants of metabolic individuality and their effects on human health.
35050183,Hysi PG,2022-01-11,Metabolites,Metabolome Genome-Wide Association Study Identifies 74 Novel Genomic Regions Influencing Plasma Metabolites Levels.
34648354,Pietzner M,2021-11-12,Science,Mapping the proteo-genomic convergence of human diseases.
38448586,Karjalainen MK,2024-03-06,Nature,Genome-wide characterization of circulating metabolic biomarkers.
35213538,Richardson TG,2022-02-25,PLoS Biol,Characterising metabolomic signatures of lipid-modifying therapies through drug target mendelian randomisation.
32042192,Ruth KS,2020-02-10,Nat Med,Using human genetics to understand the disease impacts of testosterone in men and women.
40050429,Roselli C,2025-03-06,Nat Genet,"Meta-analysis of genome-wide associations and polygenic risk prediction for atrial fibrillation in more than 180,000 cases."
34887591,Graham SE,2021-12-09,Nature,The power of genetic diversity in genome-wide association studies of lipids.
27863252,Astle WJ,2016-11-17,Cell,The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.
21757650,Debette S,2011-07-14,Circ Res,Identification of cis- and trans-acting genetic variants explaining up to half the variation in circulating vascular endothelial growth factor levels.
40789849,Yang C,2025-08-11,Nat Commun,European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites.
34349265,Ruth KS,2021-08-04,Nature,Genetic insights into biological mechanisms governing human ovarian ageing.
38374256,Suzuki K,2024-02-19,Nature,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.
39528825,Western D,2024-11-11,Nat Genet,Proteogenomic analysis of human cerebrospinal fluid identifies neurologically relevant regulation and implicates causal proteins for Alzheimer's disease.
30388399,Ligthart S,2018-11-01,Am J Hum Genet,"Genome Analyses of >200,000 Individuals Identify 58 Loci for Chronic Inflammation and Highlight Pathways that Link Inflammation and Complex Disorders."
38728357,Xie Z,2024-05-10,PLoS Genet,iGWAS: Image-based genome-wide association of self-supervised deep phenotyping of retina fundus images.
32929287,Orru V,2020-09-14,Nat Genet,Complex genetic signatures in immune cells underlie autoimmunity and inform therapy.
37277652,Schlosser P,2023-06-05,Nat Genet,Genetic studies of paired metabolomes reveal enzymatic and transport processes at the interface of plasma and urine.
36050321,Young WJ,2022-09-01,Nat Commun,Genetic analyses of the electrocardiographic QT interval and its components identify additional loci and pathways.
36635386,Chen Y,2023-01-12,Nat Genet,Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases.
41644669,White SL,2026-02-05,Nat Genet,Global multi-ancestry genome-wide analyses identify genes and biological pathways associated with thyroid cancer and benign thyroid diseases.
39927731,D'Antonio M,2025-02-10,Hum Mol Genet,Genetic analysis of elevated levels of creatinine and cystatin C biomarkers reveals novel genetic loci associated with kidney function.
41501457,Hujoel MLA,2026-01-07,Nature,"Insights into DNA repeat expansions among 900,000 biobank participants."
36154123,Thibord F,2022-09-26,Circulation,Cross-Ancestry Investigation of Venous Thromboembolism Genomic Predictors.
41325697,Noordam R,2025-11-26,Atherosclerosis,"Genome-wide gene-sleep interaction study identifies novel lipid loci in 732,564 participants."
38453145,Michalek DA,2024-03-07,Hum Mol Genet,A multi-ancestry genome-wide association study in type 1 diabetes.
42432248,Chai RC,2026-07-10,Nat Genet,Multiscale analysis and functional validation of the cellular and genetic determinants of skeletal disease.
37872160,Williams AT,2023-10-23,Nat Commun,"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."
38632349,Ghouse J,2024-04-17,Nat Genet,Integrative common and rare variant analyses provide insights into the genetic architecture of liver cirrhosis.
38116116,Chen CY,2023-11-16,Cell Genom,"Analysis across Taiwan Biobank, Biobank Japan, and UK Biobank identifies hundreds of novel loci for 36 quantitative traits."
37101235,Ali M,2023-04-26,Acta Neuropathol Commun,Large multi-ethnic genetic analyses of amyloid imaging identify new genes for Alzheimer disease.
37563310,Zhao JH,2023-08-10,Nat Immunol,Genetics of circulating inflammatory proteins identifies drivers of immune-mediated disease risk and therapeutic targets.
42054495,Western D,2026-04-29,Sci Transl Med,Low overlap of plasma and CSF protein quantitative trait loci affects protein discovery for neurological disease.
31900758,Han X,2020-01-03,Eur J Epidemiol,Using Mendelian randomization to evaluate the causal relationship between serum C-reactive protein levels and age-related macular degeneration.
39406924,Major TJ,2024-10-15,Nat Genet,A genome-wide association analysis reveals new pathogenic pathways in gout.
35710981,Liu H,2022-06-16,Nat Genet,"Epigenomic and transcriptomic analyses define core cell types, genes and targetable mechanisms for kidney disease."
30837465,Wittemans LBL,2019-03-05,Nat Commun,Assessing the causal association of glycine with risk of cardio-metabolic diseases.
32339537,Roberts V,2020-04-24,J Invest Dermatol,Genome wide association study identifies genetic associations with perceived age.
30586737,Sabater-Lleal M,2018-11-20,Circulation,Genome-Wide Association Trans-Ethnic Meta-Analyses Identifies Novel Associations Regulating Coagulation Factor VIII and von Willebrand Factor Plasma Levels.
37945903,Wang A,2023-11-09,Nat Genet,Characterizing prostate cancer risk through multi-ancestry genome-wide discovery of 187 novel risk variants.
38839884,Schormair B,2024-06-05,Nat Genet,"Genome-wide meta-analyses of restless legs syndrome yield insights into genetic architecture, disease biology and risk prediction."
38658550,Cho C,2024-04-24,Nat Commun,Large-scale cross-ancestry genome-wide meta-analysis of serum urate.
39134668,Shi S,2024-08-12,Nat Genet,A Genomics England haplotype reference panel and imputation of UK Biobank.
29739929,Visconti A,2018-05-08,Nat Commun,"Genome-wide association study in 176,678 Europeans reveals genetic loci for tanning response to sun exposure."
33980691,Martin S,2021-05-12,Diabetes,Genetic evidence for different adiposity phenotypes and their opposing influence on ectopic fat and risk of cardiometabolic disease.
32203549,Richardson TG,2020-03-23,PLoS Med,Evaluating the relationship between circulating lipoprotein lipids and apolipoproteins with risk of coronary heart disease: A multivariable Mendelian randomisation analysis.
36889626,Zhang L,2023-03-06,Osteoarthritis Cartilage,A sex- and site-specific relationship between body mass index and osteoarthritis: evidence from observational and genetic analyses.
26910538,Choi SH,2016-02-24,PLoS Genet,Six Novel Loci Associated with Circulating VEGF Levels Identified by a Meta-analysis of Genome-Wide Association Studies.
32059762,Manousaki D,2020-02-05,Am J Hum Genet,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.
37679419,Lagou V,2023-09-07,Nat Genet,"GWAS of random glucose in 476,326 individuals provide insights into diabetes pathophysiology, complications and treatment stratification."
33339817,Nielsen JB,2020-12-18,Nat Commun,Loss-of-function genomic variants highlight potential therapeutic targets for cardiovascular disease.
34226706,Barton AR,2021-07-05,Nat Genet,Whole-exome imputation within UK Biobank powers rare coding variant association and fine-mapping analyses.
31959995,Schlosser P,2020-01-20,Nat Genet,Genetic studies of urinary metabolites illuminate mechanisms of detoxification and excretion in humans.
35551307,Mahajan A,2022-05-12,Nat Genet,Multi-ancestry genetic study of type 2 diabetes highlights the power of diverse populations for discovery and translation.
37349795,Kang M,2023-06-22,Mol Neurodegener,"A genome-wide search for pleiotropy in more than 100,000 harmonized longitudinal cognitive domain scores."
39930085,Hoffmann TJ,2025-02-10,Nat Genet,"Genome-wide association study of prostate-specific antigen levels in 392,522 men identifies new loci and improves prediction across ancestry groups."
32341527,Landi MT,2020-04-27,Nat Genet,Genome-wide association meta-analyses combining multiple risk phenotypes provide insights into the genetic architecture of cutaneous melanoma susceptibility.
29403010,Kanai M,2018-02-05,Nat Genet,Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.
