gene_symbol,tissue,ntpm
TNMD,adipose tissue,22.3
TNMD,breast,14.2
TNMD,seminal vesicle,24.6
C1orf112,parathyroid gland,12.7
FGR,bone marrow,196.5
FGR,lung,83.0
FGR,lymphoid tissue,136.4
CFH,liver,1585.8
FUCA2,parathyroid gland,155.6
GCLC,liver,142.2
STPG1,testis,26.1
NIPAL3,brain,59.6
SEMA3F,esophagus,96.2
CFTR,gallbladder,47.0
CFTR,intestine,42.2
CFTR,pancreas,187.0
CYP51A1,liver,188.9
HS3ST1,ovary,29.3
AOC1,intestine,214.1
AOC1,kidney,127.7
AOC1,placenta,466.7
WNT16,cervix,6.4
WNT16,skin 1,19.4
HECW1,brain,7.6
HECW1,kidney,7.3
TMEM176A,kidney,351.8
TMEM176A,liver,1277.5
KLHL13,endometrium 1,29.2
CYP26B1,brain,34.6
CYP26B1,skin 1,29.6
DBNDD1,brain,91.5
DBNDD1,skeletal muscle,46.9
ALS2,brain,21.3
TFPI,liver,254.3
TFPI,placenta,179.5
NDUFAF7,testis,36.2
MTMR7,brain,11.6
MTMR7,retina,26.3
SLC7A2,liver,165.3
SLC7A2,parathyroid gland,210.8
POLDIP2,skeletal muscle,255.8
CD38,lymphoid tissue,58.9
CAMKK1,brain,70.2
HSPB6,skeletal muscle,2832.4
HSPB6,tongue,1642.4
NDUFAB1,heart muscle,612.8
PDK4,skeletal muscle,2154.8
PDK4,tongue,1137.3
SLC22A16,bone marrow,19.3
SLC22A16,testis,20.0
ZMYND10,choroid plexus,80.2
ZMYND10,fallopian tube,113.1
ZMYND10,testis,226.5
ABCB5,epididymis,25.7
ARX,ovary,77.7
ARX,skeletal muscle,25.0
SLC25A13,liver,140.4
SLC4A1,bone marrow,379.7
CALCR,brain,4.0
CALCR,kidney,1.4
PRSS22,esophagus,77.9
PRSS22,salivary gland,25.9
PRSS22,vagina,23.8
MCUB,lymphoid tissue,30.1
HOXA11,cervix,52.4
HOXA11,endometrium 1,80.2
HOXA11,smooth muscle,38.5
MEOX1,adipose tissue,31.3
MEOX1,breast,22.5
MEOX1,heart muscle,22.4
THSD7A,kidney,7.0
ACSM3,kidney,79.3
ACSM3,liver,166.3
ACSM3,ovary,72.9
REXO5,testis,321.5
PRKAR2B,adipose tissue,159.6
TSPOAP1,brain,149.3
MPO,bone marrow,3249.5
PON1,liver,498.0
WDR54,fallopian tube,66.0
ABCB4,liver,115.1
RHBDD2,brain,348.9
RHBDD2,choroid plexus,356.5
SOX8,brain,92.6
ITGAL,bone marrow,34.9
ITGAL,lymphoid tissue,58.7
PDK2,skeletal muscle,202.5
PDK2,tongue,265.8
ITGA2B,bone marrow,15.7
ITGA2B,epididymis,10.1
ITGA2B,lymphoid tissue,11.7
ASB4,adrenal gland,44.5
ASB4,skeletal muscle,32.0
CRLF1,blood vessel,231.1
TMEM98,choroid plexus,392.6
YBX2,testis,493.0
KRT33A,skin 1,42.6
ABCC8,brain,22.2
ABCC8,pancreas,13.3
ABCC8,pituitary gland,23.3
CACNG3,brain,67.4
TMEM132A,brain,105.8
TMEM132A,choroid plexus,107.2
TAC1,brain,223.0
SPATA20,testis,112.8
CACNA1G,brain,19.3
CACNA1G,cervix,8.2
CACNA1G,retina,8.0
DLX6,brain,10.2
DLX6,testis,5.2
MAP3K9,brain,16.6
BAIAP2L1,stomach 1,55.5
ETV1,brain,124.0
ETV1,salivary gland,85.2
TTC22,cervix,38.0
