uniprot_id,pathway_id,pathway_name,evidence
A0A075B6P5,R-HSA-166663,Initial triggering of complement,TAS
A0A075B6P5,R-HSA-173623,Classical antibody-mediated complement activation,TAS
A0A075B6P5,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,TAS
A0A075B6P5,R-HSA-202733,Cell surface interactions at the vascular wall,TAS
A0A075B6P5,R-HSA-2029481,FCGR activation,IEA
A0A075B6P5,R-HSA-2029481,FCGR activation,TAS
A0A075B6P5,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,TAS
A0A075B6P5,R-HSA-2029485,Role of phospholipids in phagocytosis,TAS
A0A075B6P5,R-HSA-2168880,Scavenging of heme from plasma,TAS
A0A075B6P5,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,TAS
A0A075B6P5,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,IEA
A0A075B6P5,R-HSA-2730905,Role of LAT2/NTAL/LAB on calcium mobilization,TAS
A0A075B6P5,R-HSA-2730905,Role of LAT2/NTAL/LAB on calcium mobilization,IEA
A0A075B6P5,R-HSA-2871796,FCERI mediated MAPK activation,TAS
A0A075B6P5,R-HSA-2871809,FCERI mediated Ca+2 mobilization,IEA
A0A075B6P5,R-HSA-2871809,FCERI mediated Ca+2 mobilization,TAS
A0A075B6P5,R-HSA-2871837,FCERI mediated NF-kB activation,TAS
A0A075B6P5,R-HSA-5690714,CD22 mediated BCR regulation,TAS
A0A075B6P5,R-HSA-9664323,FCGR3A-mediated IL10 synthesis,TAS
A0A075B6P5,R-HSA-9664323,FCGR3A-mediated IL10 synthesis,IEA
A0A075B6P5,R-HSA-9664422,FCGR3A-mediated phagocytosis,TAS
A0A075B6P5,R-HSA-9664422,FCGR3A-mediated phagocytosis,IEA
A0A075B6P5,R-HSA-9679191,Potential therapeutics for SARS,TAS
A0A075B6P5,R-HSA-977606,Regulation of Complement cascade,TAS
A0A075B6P5,R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,TAS
