action_type,action_family
INHIBITOR,INHIBITOR
ANTAGONIST,ANTAGONIST
AGONIST,AGONIST
EXOGENOUS PROTEIN,EXOGENOUS
ACTIVATOR,ACTIVATOR
BINDING AGENT,BINDING
MODULATOR,MODULATOR
PARTIAL AGONIST,PARTIAL
POSITIVE ALLOSTERIC MODULATOR,POSITIVE
OPENER,OPENER
SUBSTRATE,SUBSTRATE
BLOCKER,BLOCKER
RELEASING AGENT,RELEASING
OTHER,OTHER
PROTEOLYTIC ENZYME,PROTEOLYTIC
POSITIVE MODULATOR,POSITIVE
NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE
HYDROLYTIC ENZYME,HYDROLYTIC
CHELATING AGENT,CHELATING
CROSS-LINKING AGENT,CROSS-LINKING
SEQUESTERING AGENT,SEQUESTERING
ALLOSTERIC ANTAGONIST,ALLOSTERIC
OXIDATIVE ENZYME,OXIDATIVE
REDUCING AGENT,REDUCING
DISRUPTING AGENT,DISRUPTING
INVERSE AGONIST,INVERSE
ANTISENSE INHIBITOR,ANTISENSE
STABILISER,STABILISER
DEGRADER,DEGRADER
NEGATIVE MODULATOR,NEGATIVE
