mec_id,molecule_chembl_id,target_chembl_id,action_type,mechanism_of_action,max_phase,direct_interaction,disease_efficacy,molecular_mechanism
13,CHEMBL19,CHEMBL2326,INHIBITOR,Carbonic anhydrase VII inhibitor,4,True,True,True
14,CHEMBL1201117,CHEMBL261,INHIBITOR,Carbonic anhydrase I inhibitor,4,True,True,True
15,CHEMBL1200814,CHEMBL261,INHIBITOR,Carbonic anhydrase I inhibitor,4,True,True,True
16,CHEMBL17,CHEMBL261,INHIBITOR,Carbonic anhydrase I inhibitor,4,True,True,True
17,CHEMBL20,CHEMBL261,INHIBITOR,Carbonic anhydrase I inhibitor,4,True,True,True
18,CHEMBL19,CHEMBL261,INHIBITOR,Carbonic anhydrase I inhibitor,4,True,True,True
19,CHEMBL1450,CHEMBL1777,INHIBITOR,Cytochrome b inhibitor,4,True,True,True
20,CHEMBL1200771,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
21,CHEMBL1722209,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
22,CHEMBL1240,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
23,CHEMBL1200906,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
24,CHEMBL1724,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
25,CHEMBL1626570,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
26,CHEMBL1200880,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
27,CHEMBL1200479,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
28,CHEMBL1768,CHEMBL245,AGONIST,Muscarinic acetylcholine receptor M3 agonist,4,True,True,True
29,CHEMBL1578,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
30,CHEMBL2146146,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
31,CHEMBL517712,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
32,CHEMBL1200604,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
33,CHEMBL1200803,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
34,CHEMBL1200935,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
35,CHEMBL551466,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
36,CHEMBL1200764,CHEMBL245,AGONIST,Muscarinic acetylcholine receptor M3 agonist,4,True,True,True
37,CHEMBL3545181,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
38,CHEMBL1201765,CHEMBL245,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4,True,True,True
