reaction,event_count
DRUG INEFFECTIVE,1299291
OFF LABEL USE,856383
DEATH,849880
NAUSEA,778541
FATIGUE,766572
DIARRHOEA,634724
HEADACHE,617855
PAIN,607174
DYSPNOEA,558129
DIZZINESS,491281
VOMITING,462654
MALAISE,433770
RASH,427881
ARTHRALGIA,408882
PRURITUS,372951
ASTHENIA,371064
PYREXIA,341658
FALL,328091
PNEUMONIA,318972
INJECTION SITE PAIN,299525
CONDITION AGGRAVATED,297972
PAIN IN EXTREMITY,291264
ANXIETY,281520
PRODUCT DOSE OMISSION ISSUE,280971
COUGH,276106
WEIGHT DECREASED,275342
INSOMNIA,263239
PRODUCT USE IN UNAPPROVED INDICATION,241070
FEELING ABNORMAL,237396
ABDOMINAL PAIN,229412
BACK PAIN,229402
DECREASED APPETITE,228553
DEPRESSION,225509
INCORRECT DOSE ADMINISTERED,221935
WEIGHT INCREASED,219846
OVERDOSE,213781
CONSTIPATION,213540
HYPERTENSION,209231
ABDOMINAL PAIN UPPER,202725
ERYTHEMA,202580
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,199314
SOMNOLENCE,198395
HYPOTENSION,197643
ALOPECIA,194177
DRUG HYPERSENSITIVITY,191657
GAIT DISTURBANCE,189410
ANAEMIA,188335
BLOOD GLUCOSE INCREASED,186668
PRODUCT USE ISSUE,184493
CHEST PAIN,183130
HYPERSENSITIVITY,182921
NASOPHARYNGITIS,182291
MUSCLE SPASMS,181136
NO ADVERSE EVENT,175032
COVID-19,174599
INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,174471
MYOCARDIAL INFARCTION,173511
URINARY TRACT INFECTION,167833
CEREBROVASCULAR ACCIDENT,167808
MYALGIA,167742
TOXICITY TO VARIOUS AGENTS,165620
DRUG DOSE OMISSION,165476
ABDOMINAL DISCOMFORT,164950
URTICARIA,164226
TREMOR,164055
DRUG DEPENDENCE,160529
CONFUSIONAL STATE,159771
DRUG INTERACTION,156584
PARAESTHESIA,155623
PERIPHERAL SWELLING,151425
BLOOD PRESSURE INCREASED,151205
HOSPITALISATION,150366
ACUTE KIDNEY INJURY,150299
HYPOAESTHESIA,147879
INFECTION,142277
MEMORY IMPAIRMENT,135738
VISION BLURRED,134807
NEUTROPENIA,133698
PRODUCT QUALITY ISSUE,133026
RENAL FAILURE,132021
DEHYDRATION,131635
DRY SKIN,129816
PSORIASIS,129020
HYPERHIDROSIS,127254
