nct_id,brief_title,overall_status,phase,study_type,enrollment,start_date,completion_date,lead_sponsor,sponsor_class,sex,min_age,max_age
NCT00702507,Prospective Two-Year Study to Assess Miconazole Nitrate Resistance in Neonates and Infants,COMPLETED,PHASE4,INTERVENTIONAL,200.0,2007-05,2010-12,"Stiefel, a GSK Company",INDUSTRY,ALL,,15 Months
NCT02236000,A Dose-Escalation Study Evaluating the Combination of Trastuzumab Emtansine (T-DM1) With Neratinib in Women With Metastatic HER2-Positive Breast Cancer,COMPLETED,PHASE1,INTERVENTIONAL,49.0,2014-08,2021-08,NSABP Foundation Inc,NETWORK,FEMALE,18 Years,
NCT02074007,Study to Compare Efficacy and Safety of AR01 to a Placebo Solution for Relief of Pain in Acute Otitis Media (AR01007),TERMINATED,PHASE3,INTERVENTIONAL,178.0,2013-12,2014-06,"Arbor Pharmaceuticals, Inc.",INDUSTRY,ALL,2 Months,18 Years
NCT00762307,Non-invasive Cooling of Subcutaneous Fat,COMPLETED,NA,INTERVENTIONAL,60.0,2007-01,2012-01,Zeltiq Aesthetics,INDUSTRY,ALL,18 Years,
NCT05500807,Emicizumab for Severe Von Willebrand Disease (VWD) and VWD/Hemophilia A,RECRUITING,PHASE1,INTERVENTIONAL,40.0,2022-11-01,2028-02,"Bleeding and Clotting Disorders Institute Peoria, Illinois",OTHER,ALL,0 Years,90 Years
NCT02267707,Pharmacokinetic and Safety Study of Nab®-Paclitaxel (ABI-007) Plus Gemcitabine in Subjects With Advanced Pancreatic Cancer Who Have Cholestatic Hyperbilirubinemia,TERMINATED,PHASE1,INTERVENTIONAL,1.0,2015-05-27,2016-02-10,Celgene,INDUSTRY,ALL,18 Years,
NCT05044507,"The Efficacy of a Frequency-tuned Electromagnetic Field Treatment in Facilitating the Recovery of Subacute Ischemic Stroke Patients - a Pivotal Study (THE ""EMAGINE"" STUDY)",COMPLETED,NA,INTERVENTIONAL,100.0,2021-12-04,2024-01-16,BrainQ Technologies Ltd.,INDUSTRY,ALL,22 Years,80 Years
NCT04715607,"COVID-19: SARS-CoV-2 Detection in Saliva, Oropharyngeal and Nasopharyngeal Specimens",COMPLETED,NA,INTERVENTIONAL,27947.0,2021-01-22,2021-05-31,"Rigshospitalet, Denmark",OTHER,ALL,16 Years,120 Years
NCT03309007,"A Double-Blind, Placebo-Controlled Trial of Anti-Aging, Pro-Autophagy Effects of Metformin in Adults With Prediabetes",COMPLETED,PHASE3,INTERVENTIONAL,25.0,2017-09-01,2020-08-20,University of New Mexico,OTHER,ALL,30 Years,70 Years
NCT07522892,Physiological Safety and Behavioral Comfort of Swaddle Bathing in Preterm Infants,RECRUITING,NA,INTERVENTIONAL,40.0,2024-04-24,2026-05-31,Chang Gung University of Science and Technology,OTHER,ALL,1 Day,7 Days
