fdc_id,food_description,data_type,publication_date,food_category_id
321358,"Hummus, commercial",foundation_food,2019-04-01,16
321360,"Tomatoes, grape, raw",foundation_food,2019-04-01,11
321611,"Beans, snap, green, canned, regular pack, drained solids",foundation_food,2019-04-01,11
323121,"Frankfurter, beef, unheated",foundation_food,2019-04-01,7
323294,"Nuts, almonds, dry roasted, with salt added",foundation_food,2019-04-01,12
323505,"Kale, raw",foundation_food,2019-04-01,11
323604,"Egg, whole, raw, frozen, pasteurized",foundation_food,2019-04-01,1
323697,"Egg, white, raw, frozen, pasteurized",foundation_food,2019-04-01,1
323793,"Egg, white, dried",foundation_food,2019-04-01,1
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",foundation_food,2019-04-01,11
324653,"Pickles, cucumber, dill or kosher dill",foundation_food,2019-04-01,11
325036,"Cheese, parmesan, grated",foundation_food,2019-04-01,1
325198,"Cheese, pasteurized process, American, vitamin D fortified",foundation_food,2019-04-01,1
325287,"Grapefruit juice, white, canned or bottled, unsweetened",foundation_food,2019-04-01,9
325430,"Peaches, yellow, raw",foundation_food,2019-04-01,9
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",foundation_food,2019-04-01,12
326196,"Kale, frozen, cooked, boiled, drained, without salt",foundation_food,2019-04-01,11
326698,"Mustard, prepared, yellow",foundation_food,2019-04-01,2
327046,"Kiwifruit, green, raw",foundation_food,2019-04-01,9
327357,"Nectarines, raw",foundation_food,2019-04-01,9
328637,"Cheese, cheddar",foundation_food,2019-04-01,1
328841,"Cheese, cottage, lowfat, 2% milkfat",foundation_food,2019-04-01,1
329370,"Cheese, mozzarella, low moisture, part-skim",foundation_food,2019-04-01,1
329490,"Egg, whole, dried",foundation_food,2019-04-01,1
329596,"Egg, yolk, raw, frozen, pasteurized",foundation_food,2019-04-01,1
329716,"Egg, yolk, dried",foundation_food,2019-04-01,1
330137,"Yogurt, Greek, plain, nonfat",foundation_food,2019-04-01,1
330415,"Yogurt, Greek, strawberry, nonfat",foundation_food,2019-04-01,1
330458,"Oil, coconut",foundation_food,2019-04-01,4
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",foundation_food,2019-04-01,5
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",foundation_food,2019-04-01,5
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",foundation_food,2019-04-01,6
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",foundation_food,2019-04-01,7
332791,"Olives, green, Manzanilla, stuffed with pimiento",foundation_food,2019-04-01,9
333008,"Cookies, oatmeal, soft, with raisins",foundation_food,2019-04-01,18
333281,"Tomatoes, canned, red, ripe, diced",foundation_food,2019-04-01,11
333374,"Fish, haddock, raw",foundation_food,2019-04-01,15
333476,"Fish, pollock, raw",foundation_food,2019-04-01,15
334194,"Fish, tuna, light, canned in water, drained solids",foundation_food,2019-04-01,15
334536,"Restaurant, Chinese, fried rice, without meat",foundation_food,2019-04-01,25
334628,"Restaurant, Latino, tamale, pork",foundation_food,2019-04-01,25
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",foundation_food,2019-04-01,25
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",foundation_food,2019-12-16,13
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",foundation_food,2019-12-16,13
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",foundation_food,2019-12-16,13
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",foundation_food,2019-12-16,13
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",foundation_food,2019-12-16,13
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",foundation_food,2019-12-16,13
746764,"Carrots, frozen, unprepared",foundation_food,2019-12-16,11
746765,"Cheese, dry white, queso seco",foundation_food,2019-12-16,1
746766,"Cheese, ricotta, whole milk",foundation_food,2019-12-16,1
746767,"Cheese, swiss",foundation_food,2019-12-16,1
746768,"Figs, dried, uncooked",foundation_food,2019-12-16,9
746769,"Lettuce, cos or romaine, raw",foundation_food,2019-12-16,11
746770,"Melons, cantaloupe, raw",foundation_food,2019-12-16,9
746771,"Oranges, raw, navels",foundation_food,2019-12-16,9
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",foundation_food,2019-12-16,1
746773,"Pears, raw, bartlett",foundation_food,2019-12-16,9
746774,"Restaurant, Chinese, sweet and sour pork",foundation_food,2019-12-16,25
746775,"Salt, table, iodized",foundation_food,2019-12-16,2
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",foundation_food,2019-12-16,1
746777,"Sauce, salsa, ready-to-serve",foundation_food,2019-12-16,6
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",foundation_food,2019-12-16,1
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",foundation_food,2019-12-16,7
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",foundation_food,2019-12-16,7
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",foundation_food,2019-12-16,7
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",foundation_food,2019-12-16,1
