nutrient_id,nutrient_name,unit_name,nutrient_nbr
2047,Energy (Atwater General Factors),KCAL,957.0
2048,Energy (Atwater Specific Factors),KCAL,958.0
1001,Solids,G,201.0
1002,Nitrogen,G,202.0
1003,Protein,G,203.0
1004,Total lipid (fat),G,204.0
1005,"Carbohydrate, by difference",G,205.0
1006,"Fiber, crude (DO NOT USE - Archived)",G,206.0
1007,Ash,G,207.0
1008,Energy,KCAL,208.0
1009,Starch,G,209.0
1010,Sucrose,G,210.0
1011,Glucose,G,211.0
1012,Fructose,G,212.0
1013,Lactose,G,213.0
1014,Maltose,G,214.0
1015,Amylose,G,218.0
1016,Amylopectin,G,219.0
1017,Pectin,G,220.0
1018,"Alcohol, ethyl",G,221.0
1019,Pentosan,G,222.0
1020,Pentoses,G,223.0
1021,Hemicellulose,G,224.0
1022,Cellulose,G,225.0
1023,pH,PH,226.0
1024,Specific Gravity,SP_GR,227.0
1025,Organic acids,G,229.0
1026,Acetic acid,MG,230.0
1027,Aconitic acid,MG,231.0
1028,Benzoic acid,MG,232.0
1029,Chelidonic acid,MG,233.0
1030,Chlorogenic acid,MG,234.0
1031,Cinnamic acid,MG,235.0
1032,Citric acid,MG,236.0
1033,Fumaric acid,MG,237.0
1034,Galacturonic acid,MG,238.0
1035,Gallic acid,MG,239.0
1036,Glycolic acid,MG,240.0
1037,Isocitric acid,MG,241.0
1038,Lactic acid,MG,242.0
1039,Malic acid,MG,243.0
1040,Oxaloacetic acid,MG,244.0
1041,Oxalic acid,MG,245.0
1042,Phytic acid,MG,246.0
1043,Pyruvic acid,MG,247.0
1044,Quinic acid,MG,248.0
1045,Salicylic acid,MG,249.0
1046,Succinic acid,MG,250.0
1047,Tartaric acid,MG,251.0
1048,Ursolic acid,MG,252.0
1049,"Solids, non-fat",G,253.0
1050,"Carbohydrate, by summation",G,205.2
1051,Water,G,255.0
1052,Adjusted Nitrogen,G,256.0
1053,Adjusted Protein,G,257.0
1054,Piperine,G,259.0
1055,Mannitol,G,260.0
1056,Sorbitol,G,261.0
1057,Caffeine,MG,262.0
1058,Theobromine,MG,263.0
1059,Nitrates,MG,264.0
1060,Nitrites,MG,265.0
1061,"Nitrosamine,total",MG,266.0
1062,Energy,kJ,268.0
1063,"Sugars, Total",G,269.3
1064,"Solids, soluble",G,271.0
1065,Glycogen,G,272.0
1066,"Fiber, neutral detergent (DO NOT USE - Archived)",G,273.0
1067,Reducing sugars,G,274.0
1068,Beta-glucans,G,276.0
1069,Oligosaccharides,G,281.0
1070,Nonstarch polysaccharides,G,282.0
1071,Resistant starch,G,283.0
1072,"Carbohydrate, other",G,284.0
1073,Arabinose,G,285.0
1074,Xylose,G,286.0
1075,Galactose,G,287.0
1076,Raffinose,G,288.0
1077,Stachyose,G,289.0
1078,Xylitol,G,290.0
1079,"Fiber, total dietary",G,291.0
1080,Lignin,G,292.0
1081,Ribose,G,294.0
1082,"Fiber, soluble",G,295.0
1083,Theophylline,MG,296.0
1084,"Fiber, insoluble",G,297.0
1085,Total fat (NLEA),G,298.0
1086,Total sugar alcohols,G,299.0
1087,"Calcium, Ca",MG,301.0
1088,"Chlorine, Cl",MG,302.0
1089,"Iron, Fe",MG,303.0
1090,"Magnesium, Mg",MG,304.0
1091,"Phosphorus, P",MG,305.0
1092,"Potassium, K",MG,306.0
1093,"Sodium, Na",MG,307.0
1094,"Sulfur, S",MG,308.0
1095,"Zinc, Zn",MG,309.0
1096,"Chromium, Cr",UG,310.0
1097,"Cobalt, Co",UG,311.0
1098,"Copper, Cu",MG,312.0
1099,"Fluoride, F",UG,313.0
1100,"Iodine, I",UG,314.0
1101,"Manganese, Mn",MG,315.0
1102,"Molybdenum, Mo",UG,316.0
1103,"Selenium, Se",UG,317.0
1104,"Vitamin A, IU",IU,318.0
1105,Retinol,UG,319.0
1106,"Vitamin A, RAE",UG,320.0
1107,"Carotene, beta",UG,321.0
1108,"Carotene, alpha",UG,322.0
1109,Vitamin E (alpha-tocopherol),MG,323.0
1110,"Vitamin D (D2 + D3), International Units",IU,324.0
1111,Vitamin D2 (ergocalciferol),UG,325.0
1112,Vitamin D3 (cholecalciferol),UG,326.0
1113,25-hydroxycholecalciferol,UG,327.0
1114,Vitamin D (D2 + D3),UG,328.0
1115,25-hydroxyergocalciferol,UG,329.0
1116,Phytoene,UG,330.0
1117,Phytofluene,UG,331.0
1118,"Carotene, gamma",UG,332.0
1119,Zeaxanthin,UG,338.2
1120,"Cryptoxanthin, beta",UG,334.0
1121,Lutein,UG,338.1
1122,Lycopene,UG,337.0
1123,Lutein + zeaxanthin,UG,338.0
1124,Vitamin E (label entry primarily),IU,340.0
1125,"Tocopherol, beta",MG,341.0
1126,"Tocopherol, gamma",MG,342.0
1127,"Tocopherol, delta",MG,343.0
1128,"Tocotrienol, alpha",MG,344.0
1129,"Tocotrienol, beta",MG,345.0
1130,"Tocotrienol, gamma",MG,346.0
1131,"Tocotrienol, delta",MG,347.0
1132,"Aluminum, Al",UG,348.0
1133,"Antimony, Sb",UG,349.0
1134,"Arsenic, As",UG,350.0
1135,"Barium, Ba",UG,351.0
1136,"Beryllium, Be",UG,352.0
1137,"Boron, B",UG,354.0
1138,"Bromine, Br",UG,355.0
1139,"Cadmium, Cd",UG,356.0
1140,"Gold, Au",UG,363.0
1141,"Iron, heme",MG,364.0
1142,"Iron, non-heme",MG,365.0
1143,"Lead, Pb",UG,367.0
1144,"Lithium, Li",UG,368.0
1145,"Mercury, Hg",UG,370.0
1146,"Nickel, Ni",UG,371.0
1147,"Rubidium, Rb",UG,373.0
1148,Fluoride - DO NOT USE; use 313,UG,374.0
1149,"Salt, NaCl",MG,375.0
1150,"Silicon, Si",UG,378.0
1151,"Silver, Ag",UG,379.0
1152,"Strontium, Sr",UG,380.0
1153,"Tin, Sn",UG,385.0
1154,"Titanium, Ti",UG,386.0
1155,"Vanadium, V",UG,389.0
1156,"Vitamin A, RE",MCG_RE,392.0
1157,Carotene,MCG_RE,393.0
1158,Vitamin E,MG_ATE,394.0
1159,cis-beta-Carotene,UG,321.1
1160,cis-Lycopene,UG,337.1
1161,cis-Lutein/Zeaxanthin,UG,338.3
1162,"Vitamin C, total ascorbic acid",MG,401.0
