fdc_id,nutrient_id,amount
321358,1262,0.0
321358,1265,1.41
321358,1278,0.0
321358,1127,1.3
321358,1090,71.1
321358,1075,0.0
321358,1313,0.005
321358,1330,0.012
321358,1404,0.637
321358,1197,1.1
321358,1259,0.0
321358,1194,22.3
321358,1123,258.0
321358,1299,0.004
321358,1273,0.044
321358,1258,2.22
321358,1014,0.0
321358,1276,0.0
321358,1323,0.007
321358,1089,2.41
321358,1085,16.1
321358,1180,46.6
321358,1002,1.18
321358,1011,0.0
321358,1051,58.7
321358,1108,0.0
321358,1103,16.2
321358,1128,0.0
321358,1271,0.005
321358,1329,0.006
321358,1333,0.0
321358,1012,0.15
321358,1008,229.0
321358,2014,0.001
321358,1334,0.0
321358,1185,17.2
321358,1198,0.2
321358,1315,6.25
321358,1131,0.0
321358,1050,13.9
321358,1306,0.012
321358,1170,0.318
321358,2026,0.005
321358,1126,9.47
321358,1129,0.0
321358,1264,0.009
321358,1106,1.0
321358,2012,0.084
321358,1175,0.143
321358,1292,6.37
321358,1184,0.0
321358,1183,0.0
321358,1079,5.4
321358,1405,0.0
321358,1063,0.34
321358,1098,0.348
321358,1272,0.0
321358,2020,0.0
321358,1199,0.0
321358,1091,166.0
321358,1007,1.97
321358,1003,7.35
321358,1316,6.81
321358,1335,0.0
321358,1266,0.634
321358,1304,0.006
321358,1300,0.01
321358,1263,0.0
321358,1087,41.0
321358,1195,23.0
321358,1280,0.0
321358,1196,0.2
321358,1120,3.0
321358,1125,0.31
321358,1301,0.027
321358,1411,0.0
321358,1406,0.0
321358,1305,0.0
321358,1092,289.0
321358,1293,7.48
321358,1101,1.06
321358,1314,0.021
321358,1093,438.0
321358,1177,36.0
321358,1062,960.0
321358,2024,0.0
321358,1004,17.1
321358,2019,0.0
321358,1257,0.018
321358,2010,0.007
321358,1331,0.0
321358,1122,0.0
321358,1165,0.15
321358,1303,0.0
321358,1095,1.38
321358,1109,1.74
321358,2016,6.81
321358,1010,0.18
321358,1009,8.12
321358,1013,0.0
321358,1414,0.0
321358,2018,0.656
321358,1311,0.002
321358,2023,0.0
321358,2025,0.0
321358,1005,14.9
321358,1312,0.005
321358,2009,0.0
321358,2022,0.005
321358,1162,0.0
321358,1260,0.0
321358,1107,12.0
321358,1267,0.079
321358,1321,0.02
321358,1167,0.948
321358,1166,0.115
321358,1317,0.001
321358,1130,0.0
321358,1261,0.0
321358,2047,243.0
321358,2048,229.0
321360,1119,9.0
321360,1125,0.02
321360,1121,95.0
321360,1131,0.0
321360,1109,0.98
321360,1198,0.0
321360,2028,393.0
321360,1160,554.0
321360,1120,0.0
321360,1167,0.805
321360,1162,27.2
321360,1128,0.0
321360,1090,11.9
321360,1062,113.0
321360,1051,92.5
321360,2032,0.0
321360,1195,0.6
321360,1089,0.33
321360,1101,0.121
321360,1092,260.0
321360,1095,0.2
321360,1129,0.0
321360,1122,4100.0
321360,1183,0.0
321360,1194,8.0
321360,1180,9.8
321360,1005,5.51
321360,1199,0.0
321360,1159,49.0
321360,1087,11.0
321360,1177,10.0
321360,1008,27.0
321360,1098,0.058
321360,1126,0.7
321360,1079,2.1
321360,1185,4.2
321360,1003,0.83
321360,1196,1.2
321360,1093,6.0
321360,1007,0.56
321360,1002,0.13
321360,1161,12.0
321360,1108,0.0
321360,1004,0.63
321360,1130,0.0
321360,1184,0.0
321360,1127,0.12
321360,1197,0.0
321360,1165,0.075
321360,1175,0.06
321360,1166,0.065
321360,1091,28.0
321360,2047,31.0
321360,2048,27.0
321611,1014,0.0
321611,1051,93.6
321611,1002,0.17
321611,1095,0.19
321611,1011,0.65
321611,1075,0.0
321611,1092,97.0
321611,1063,1.29
321611,1062,86.0
321611,1087,36.0
321611,1101,0.176
321611,1005,4.11
321611,1004,0.39
321611,1003,1.04
321611,1091,23.0
321611,1098,0.041
321611,1089,0.78
321611,1012,0.64
321611,1007,0.89
321611,1010,0.0
321611,1013,0.0
321611,1008,21.0
321611,1090,12.7
321611,1093,282.0
321611,2047,24.0
321611,2048,20.0
323121,1259,0.004
323121,1260,0.0
323121,1335,0.0
323121,1292,12.1
323121,1304,1.38
323121,1406,0.021
323121,1091,128.0
323121,1272,0.0
323121,2024,0.013
323121,1085,26.0
323121,2018,0.084
323121,1261,0.005
323121,1264,0.84
323121,1257,1.59
323121,1178,0.97
323121,1106,3.0
323121,1131,0.0
323121,1414,0.0
323121,1271,0.029
323121,1003,11.7
323121,1303,0.087
323121,1129,0.0
323121,1126,0.17
323121,1273,0.008
323121,1258,11.4
323121,2014,0.064
323121,1098,0.046
323121,1010,0.0
323121,2023,0.003
323121,1305,0.0
323121,1306,0.131
323121,1166,0.154
323121,2020,0.022
323121,1063,1.26
323121,1093,872.0
323121,1313,0.008
323121,1130,0.0
323121,1062,1310.0
323121,1329,1.46
323121,2019,0.001
323121,1405,0.001
323121,2025,0.0
323121,1404,0.078
323121,1090,11.5
323121,1293,0.954
323121,2010,0.257
323121,1263,0.019
323121,1314,0.985
323121,1334,0.001
323121,1127,0.0
323121,2022,0.029
323121,2012,0.117
323121,1311,0.169
323121,2009,0.267
323121,1002,1.87
323121,1128,0.0
323121,1300,0.355
323121,1333,0.0
323121,1323,0.257
323121,2026,0.008
323121,1312,0.005
323121,1265,6.33
323121,1007,2.74
323121,1013,0.0
323121,1331,0.001
323121,1315,10.4
323121,1177,0.0
323121,1316,0.625
323121,1089,1.14
323121,1262,0.015
323121,1175,0.13
323121,1014,0.09
323121,1167,2.25
323121,1109,0.51
323121,1004,28.0
323121,1011,1.17
323121,1008,314.0
323121,1087,15.0
323121,1051,54.6
323121,1095,2.06
323121,1005,2.89
323121,1092,343.0
323121,1170,0.263
323121,1125,0.0
323121,1411,0.008
323121,1101,0.031
323121,1267,0.029
323121,1165,0.033
323121,1012,0.0
323121,1276,0.003
323121,1278,0.003
323121,1330,0.131
323121,2016,0.794
323121,1299,0.138
323121,1105,3.0
323121,1075,0.0
323121,1317,0.064
323121,1301,0.002
323121,1321,0.005
323121,1280,0.013
323121,1266,3.66
323121,2047,310.0
323121,2048,314.0
323294,1005,16.2
323294,1085,53.4
323294,1162,0.0
323294,1165,0.079
323294,1293,14.5
323294,1317,0.001
323294,1175,0.075
323294,1272,0.0
323294,1095,2.8
323294,1194,4.3
323294,1330,0.016
323294,1130,0.0
323294,1321,0.002
323294,1013,0.0
323294,1257,0.032
323294,1259,0.001
323294,1292,34.2
323294,2018,0.052
323294,1300,0.028
323294,1265,3.54
323294,1267,0.059
323294,1196,0.0
323294,1127,0.0
323294,1128,0.28
323294,2009,0.0
323294,1333,0.0
323294,1093,256.0
323294,1103,0.0
323294,1276,0.0
323294,1012,0.0
323294,1258,4.56
323294,1177,35.0
323294,1199,0.0
323294,1170,0.237
323294,1167,3.1
323294,1101,2.02
323294,1329,0.016
323294,1008,620.0
323294,1304,0.016
323294,1260,0.0
323294,1063,4.17
323294,1406,0.0
323294,1335,0.0
323294,1106,2.0
323294,1264,0.027
323294,1108,0.0
323294,1185,0.0
323294,1263,0.0
323294,1079,11.0
323294,1122,0.0
323294,2019,0.0
323294,1011,0.0
323294,2026,0.0
323294,1109,19.0
323294,1331,0.0
323294,1280,0.0
323294,1414,0.0
323294,2020,0.0
323294,1306,0.016
323294,1404,0.05
323294,1273,0.042
323294,1123,25.0
323294,1184,0.0
323294,2012,0.076
323294,2010,0.061
323294,1075,0.0
323294,1303,0.0
323294,1051,2.2
323294,1098,0.87
323294,1010,4.17
323294,2025,0.0
323294,1198,0.0
323294,1125,0.18
323294,1091,456.0
323294,1315,33.8
323294,1007,3.47
323294,1261,0.0
323294,1004,57.8
323294,1129,0.0
323294,1090,258.0
323294,1271,0.005
323294,2022,0.005
323294,1126,0.92
323294,1262,0.0
323294,1195,56.1
323294,1323,0.061
323294,1166,1.57
323294,1092,684.0
323294,1305,0.0
323294,1316,14.5
323294,2016,14.5
323294,1313,0.0
323294,2024,0.0
323294,1411,0.0
323294,1301,0.024
323294,1197,0.4
323294,1314,0.259
323294,1002,3.94
323294,1278,0.002
323294,1089,3.17
323294,1120,9.0
323294,1131,0.0
323294,1003,20.4
323294,2014,0.001
323294,1312,0.001
323294,1087,273.0
323294,1266,0.828
323294,1014,0.0
323294,1107,17.0
323294,1180,60.8
323294,1405,0.0
323294,1183,0.0
323294,1299,0.008
323294,1311,0.006
323294,2023,0.002
323294,1334,0.0
323294,1062,2590.0
323294,2047,667.0
323294,2048,621.0
323505,1177,62.0
323505,1128,0.0
323505,1123,6260.0
323505,1185,390.0
323505,1167,1.18
323505,1012,0.4
323505,1184,0.0
323505,1120,27.0
323505,1101,0.92
323505,1095,0.39
323505,1002,0.47
323505,1125,0.0
323505,1090,32.7
323505,1108,0.0
323505,1003,2.92
323505,1175,0.147
323505,1079,4.1
323505,1106,241.0
323505,1129,0.0
323505,1107,2870.0
323505,1010,0.0
323505,1109,0.66
323505,1126,0.14
323505,1005,4.42
323505,1098,0.053
323505,1122,0.0
323505,1008,35.0
323505,1087,254.0
323505,1131,0.0
323505,1091,55.0
323505,1183,0.0
323505,1011,0.4
323505,1093,53.0
323505,1051,89.6
323505,1162,93.4
323505,1014,0.0
323505,1165,0.113
323505,1127,0.0
323505,1062,148.0
323505,1063,0.8
323505,1007,1.54
323505,1170,0.37
323505,1004,1.49
323505,1166,0.347
323505,1075,0.0
323505,1130,0.0
323505,1013,0.0
323505,1089,1.6
323505,1092,348.0
