gene_symbol,gene_id,mim_number
A-GAMMA3'E,109951028,-
A1BG,1,138670
A1BG-AS1,503538,-
A1CF,29974,618199
A2M,2,103950
A2M-AS1,144571,-
A2ML1,144568,610627
A2ML1-AS1,100874108,-
A2ML1-AS2,106478979,-
A3GALT2,127550,619850
A4GALT,53947,607922
A4GNT,51146,616709
AAAS,8086,605378
AACS,65985,614364
AADAC,13,600338
AADACL2,344752,-
AADACL2-AS1,101928142,-
AADACL3,126767,-
AADACL4,343066,-
AADAT,51166,611754
AAGAB,79719,614888
AAK1,22848,616405
AAMDC,28971,620474
AAMP,14,603488
AANAT,15,600950
AAR2,25980,617365
AARD,441376,621042
AARS1,16,601065
AARS2,57505,612035
AARSD1,80755,613212
AASDH,132949,614365
AASDHPPT,60496,607756
AASS,10157,605113
AATBC,284837,-
AATF,26574,608463
ABAT,18,137150
ABCA1,19,600046
ABCA10,10349,612508
ABCA12,26154,607800
ABCA13,154664,607807
ABCA2,20,600047
ABCA3,21,601615
ABCA4,24,601691
ABCA5,23461,612503
ABCA6,23460,612504
ABCA7,10347,605414
ABCA8,10351,612505
ABCA9,10350,612507
ABCA9-AS1,104355297,-
ABCB1,5243,171050
ABCB10,23456,605454
ABCB11,8647,603201
ABCB4,5244,171060
ABCB5,340273,611785
ABCB6,10058,605452
ABCB7,22,300135
ABCB8,11194,605464
ABCB9,23457,605453
ABCC1,4363,158343
ABCC10,89845,612509
ABCC11,85320,607040
ABCC12,94160,607041
ABCC2,1244,601107
ABCC3,8714,604323
ABCC4,10257,605250
ABCC5,10057,605251
ABCC5-AS1,100873982,-
ABCC6,368,603234
ABCC8,6833,600509
ABCC9,10060,601439
ABCD1,215,300371
ABCD2,225,601081
ABCD3,5825,170995
ABCD4,5826,603214
ABCE1,6059,601213
ABCF1,23,603429
ABCF2,10061,612510
ABCF2-H2BK1,114483834,-
ABCF3,55324,618967
ABCG1,9619,603076
ABCG2,9429,603756
ABCG4,64137,607784
ABCG5,64240,605459
ABCG8,64241,605460
ABHD1,84696,612195
ABHD10,55347,618756
ABHD11,83451,621050
ABHD11-AS1,171022,612545
ABHD12,26090,613599
ABHD12B,145447,-
ABHD13,84945,621039
ABHD14A,25864,618771
ABHD14A-ACY1,100526760,-
ABHD14B,84836,621040
ABHD15,116236,619894
ABHD16A,7920,142620
ABHD16B,140701,620190
ABHD16B-AS1,112268269,-
ABHD17A,81926,617942
ABHD17B,51104,617943
ABHD17C,58489,617944
ABHD18,80167,-
ABHD2,11057,612196
ABHD3,171586,612197
ABHD4,63874,619728
ABHD5,51099,604780
ABHD6,57406,616966
ABHD8,79575,621036
ABI1,10006,603050
ABI2,10152,606442
ABI3,51225,606363
ABI3BP,25890,606279
ABITRAM,54942,620392
ABL1,25,189980
ABL2,27,164690
ABLIM1,3983,602330
ABLIM2,84448,612544
ABLIM3,22885,611305
ABO,28,110300
ABR,29,600365
ABR-AS1,105371479,-
ABRA,137735,609747
ABRACL,58527,621425
ABRAXAS1,84142,611143
ABRAXAS2,23172,611144
ABT1,29777,618750
ABTB1,80325,608308
ABTB2,25841,621014
ABTB3,121551,621028
ACAA1,30,604054
ACAA2,10449,604770
ACACA,31,200350
ACACB,32,601557
ACAD10,80724,611181
ACAD11,84129,614288
ACAD8,27034,604773
ACAD9,28976,611103
ACAD9-DT,123706524,-
ACADL,33,609576
ACADM,34,607008
ACADS,35,606885
ACADSB,36,600301
ACADVL,37,609575
ACAN,176,155760
ACAP1,9744,607763
ACAP2,23527,607766
ACAP3,116983,621640
ACAT1,38,607809
ACAT2,39,100678
ACBD3,64746,606809
ACBD3-AS1,107985353,-
ACBD4,79777,619968
ACBD5,91452,616618
ACBD6,84320,616352
ACBD7,414149,-
ACBD7-DCLRE1CP1,108949267,-
ACCS,84680,608405
ACCSL,390110,-
ACD,65057,609377
ACE,1636,106180
ACE2,59272,300335
ACE2-DT,104798195,-
ACER1,125981,613491
ACER2,340485,613492
ACER3,55331,617036
ACHE,43,100740
ACIN1,22985,604562
ACKR1,2532,613665
ACKR2,1238,602648
ACKR3,57007,610376
ACKR4,51554,606065
ACKR5,11318,605307
ACLY,47,108728
ACMSD,130013,608889
ACO1,48,100880
ACO2,50,100850
ACOD1,730249,615275
ACOT1,641371,614313
ACOT11,26027,606803
ACOT12,134526,614315
ACOT13,55856,615652
ACOT2,10965,609972
ACOT4,122970,614314
ACOT6,641372,614267
ACOT7,11332,602587
ACOT8,10005,608123
ACOT9,23597,300862
ACOX1,51,609751
ACOX2,8309,601641
ACOX3,8310,603402
ACOXL,55289,621406
ACOXL-AS1,400997,-
ACP1,52,171500
ACP2,53,171650
ACP3,55,171790
ACP4,93650,606362
ACP5,54,171640
ACP6,51205,611471
ACP7,390928,610490
ACR,49,102480
ACRBP,84519,608352
ACRV1,56,102525
ACSBG1,23205,614362
