mim_number,in_omim
-,True
138670,True
618199,True
103950,True
610627,True
619850,True
607922,True
616709,True
605378,True
614364,True
600338,True
611754,True
614888,True
616405,True
620474,True
603488,True
600950,True
617365,True
621042,True
601065,True
612035,True
613212,True
614365,True
607756,True
605113,True
608463,True
137150,True
600046,True
612508,True
607800,True
607807,True
600047,True
601615,True
601691,True
612503,True
612504,True
605414,True
612505,True
612507,True
171050,True
605454,True
603201,True
171060,True
611785,True
605452,True
300135,True
605464,True
605453,True
158343,True
612509,True
607040,True
607041,True
601107,True
604323,True
605250,True
605251,True
603234,True
600509,True
601439,True
300371,True
601081,True
170995,True
603214,True
601213,True
603429,True
612510,True
618967,True
603076,True
603756,True
607784,True
605459,True
605460,True
612195,True
618756,True
621050,True
612545,True
613599,True
621039,True
618771,True
621040,True
619894,True
142620,True
620190,True
617942,True
617943,True
617944,True
612196,True
612197,True
619728,True
604780,True
616966,True
621036,True
603050,True
606442,True
606363,True
606279,True
620392,True
189980,True
164690,True
602330,True
612544,True
611305,True
110300,True
600365,True
609747,True
621425,True
611143,True
611144,True
618750,True
608308,True
621014,True
621028,True
604054,True
604770,True
200350,True
601557,True
611181,True
614288,True
604773,True
611103,True
609576,True
607008,True
606885,True
600301,True
609575,True
155760,True
607763,True
607766,True
621640,True
607809,True
100678,True
606809,True
619968,True
616618,True
616352,True
608405,True
609377,True
106180,True
300335,True
613491,True
613492,True
617036,True
100740,True
604562,True
613665,True
602648,True
610376,True
606065,True
605307,True
108728,True
608889,True
100880,True
100850,True
615275,True
614313,True
606803,True
614315,True
615652,True
609972,True
614314,True
614267,True
602587,True
608123,True
300862,True
609751,True
601641,True
603402,True
621406,True
171500,True
171650,True
171790,True
606362,True
171640,True
611471,True
610490,True
102480,True
608352,True
102525,True
614362,True
614363,True
610465,True
614245,True
152425,True
602371,True
300157,True
605677,True
604443,True
614357,True
614358,True
614359,True
145505,True
614360,True
614361,True
614355,True
605832,True
614356,True
102610,True
102620,True
621651,True
102630,True
614835,True
102540,True
102560,True
102545,True
604958,True
612458,True
604303,True
604304,True
621132,True
619251,True
620093,True
102575,True
102573,True
102574,True
604638,True
619731,True
605143,True
605144,True
604221,True
604222,True
621668,True
621669,True
619730,True
619729,True
619716,True
300487,True
608535,True
608534,True
102576,True
601300,True
608981,True
102581,True
602730,True
601284,True
104620,True
614413,True
600875,True
102595,True
608958,True
607575,True
614130,True
619532,True
602192,True
155120,True
602714,True
605548,True
603639,True
619495,True
603640,True
601533,True
603712,True
603713,True
603709,True
603710,True
606188,True
604778,True
604779,True
618602,True
607114,True
607310,True
602267,True
602713,True
606393,True
605174,True
608990,True
606184,True
604134,True
607506,True
607509,True
607510,True
607511,True
607512,True
607513,True
604539,True
611681,True
605011,True
603876,True
605007,True
605008,True
605009,True
605175,True
605421,True
609198,True
612277,True
609199,True
610113,True
621470,True
608114,True
608635,True
146920,True
601218,True
602065,True
604230,True
615388,True
615302,True
620399,True
621162,True
621165,True
103072,True
605205,True
103071,True
600291,True
600292,True
600293,True
600294,True
600385,True
103070,True
603302,True
102980,True
102981,True
102680,True
102681,True
601568,True
614630,True
612302,True
606823,True
612303,True
602682,True
602683,True
602684,True
613639,True
620837,True
600493,True
606100,True
606101,True
601211,True
617430,True
620872,True
620873,True
614268,True
620874,True
604110,True
300572,True
618441,True
301085,True
616965,True
612243,True
612307,True
616416,True
607018,True
616417,True
616419,True
602851,True
103700,True
103720,True
103730,True
103740,True
103710,True
103735,True
600086,True
611083,True
613400,True
611396,True
605441,True
607945,True
607946,True
621163,True
620373,True
102750,True
103275,True
608682,True
621171,True
611386,True
617422,True
611392,True
102775,True
102776,True
600446,True
600445,True
611861,True
603081,True
610620,True
621211,True
610624,True
104221,True
104220,True
104219,True
104210,True
104260,True
104250,True
109630,True
109690,True
109691,True
610650,True
608222,True
612498,True
103060,True
614348,True
602981,True
617934,True
610177,True
608252,True
619779,True
614410,True
612420,True
159559,True
159557,True
300806,True
601464,True
604417,True
617469,True
613940,True
619578,True
604581,True
104145,True
621151,True
104150,True
619628,True
613228,True
608651,True
621159,True
605476,True
616813,True
621155,True
621156,True
621157,True
621158,True
615496,True
617345,True
617346,True
616476,True
615900,True
600214,True
600862,True
604019,True
608464,True
610345,True
610860,True
617887,True
613738,True
606228,True
606229,True
607355,True
607356,True
603099,True
603100,True
614794,True
614795,True
614796,True
603051,True
606358,True
609482,True
103320,True
602311,True
106150,True
606830,True
106165,True
300034,True
608729,True
604285,True
612471,True
610853,True
180960,True
607826,True
616520,True
615790,True
608894,True
103390,True
608570,True
600253,True
606517,True
608466,True
138680,True
605821,True
605257,True
612375,True
601833,True
621223,True
300169,True
605159,True
617298,True
608514,True
604578,True
603605,True
600859,True
605555,True
604392,True
607358,True
614799,True
604893,True
610972,True
621476,True
609066,True
103000,True
103020,True
609290,True
103030,True
608009,True
619357,True
615364,True
615365,True
615358,True
616427,True
602449,True
604694,True
604696,True
604698,True
604686,True
300462,True
312095,True
465000,True
615117,True
604689,True
300185,True
604688,True
604691,True
604693,True
604692,True
609475,True
604001,True
609191,True
615164,True
615165,True
605729,True
621318,True
103830,True
103880,True
604707,True
616336,True
600449,True
600450,True
603966,True
600451,True
604741,True
617451,True
603418,True
608477,True
608478,True
164730,True
610221,True
164731,True
611223,True
608483,True
125270,True
125290,True
301300,True
103600,True
601662,True
613358,True
138250,True
100640,True
603687,True
600463,True
100670,True
600249,True
613584,True
100650,True
100660,True
609523,True
600466,True
601917,True
606811,True
610045,True
603178,True
107323,True
606467,True
602733,True
103850,True
612724,True
103870,True
605907,True
618355,True
603313,True
613666,True
607144,True
300776,True
612866,True
607905,True
608750,True
604565,True
604566,True
608103,True
606941,True
105590,True
619670,True
619671,True
605345,True
610602,True
610603,True
613302,True
613303,True
613304,True
613305,True
613306,True
612396,True
606844,True
152391,True
603741,True
152392,True
603697,True
152390,True
603700,True
607206,True
171810,True
171740,True
607347,True
619965,True
617608,True
171760,True
171800,True
606352,True
612402,True
601527,True
606014,True
605420,True
604171,True
604489,True
601259,True
176870,True
611359,True
180980,True
620863,True
620864,True
300391,True
410000,True
300647,True
614659,True
603243,True
600957,True
600956,True
615689,True
615690,True
615691,True
300195,True
605799,True
620564,True
300410,True
614657,True
614658,True
102770,True
102771,True
102772,True
600418,True
238310,True
610912,True
104700,True
104701,True
104702,True
104650,True
104660,True
615168,True
615169,True
608473,True
613745,True
614534,True
614484,True
614717,True
613427,True
606946,True
606947,True
606948,True
606949,True
105850,True
619537,True
619001,True
601667,True
601922,True
603705,True
603874,True
605001,True
604774,True
605910,True
607666,True
609336,True
618517,True
616223,True
612641,True
106410,True
600465,True
609803,True
619920,True
620853,True
607927,True
605145,True
610500,True
620069,True
608774,True
619348,True
616062,True
620842,True
621597,True
605787,True
609599,True
611192,True
610616,True
615123,True
615124,True
615125,True
604372,True
615126,True
618017,True
615929,True
620259,True
618930,True
610734,True
610736,True
620234,True
610855,True
618957,True
611122,True
610856,True
616565,True
618423,True
620857,True
618581,True
621505,True
620262,True
619021,True
619778,True
620861,True
618712,True
619571,True
619856,True
620862,True
617009,True
613383,True
615189,True
610583,True
621326,True
621291,True
610731,True
618605,True
608994,True
607815,True
617310,True
609901,True
615370,True
617541,True
616027,True
610108,True
613726,True
610109,True
610110,True
610111,True
608662,True
608663,True
605096,True
610216,True
619963,True
300836,True
600832,True
619823,True
606877,True
606878,True
609611,True
151530,True
618566,True
606410,True
608041,True
151690,True
608008,True
602572,True
602573,True
151740,True
611296,True
106490,True
106491,True
131230,True
114070,True
186360,True
602396,True
603319,True
102593,True
104610,True
602268,True
603735,True
619600,True
602841,True
610851,True
600157,True
603533,True
603534,True
603535,True
607309,True
603531,True
300629,True
615781,True
601026,True
607242,True
601025,True
601024,True
602242,True
603401,True
602166,True
607246,True
610366,True
610469,True
601507,True
602416,True
607245,True
607244,True
602296,True
607243,True
614367,True
614368,True
614824,True
613653,True
602233,True
602414,True
602712,True
604262,True
602709,True
609036,True
602710,True
602711,True
611731,True
612034,True
607479,True
104770,True
102645,True
615594,True
107748,True
300773,True
607629,True
607630,True
609774,True
612491,True
611035,True
300297,True
600052,True
104775,True
104776,True
615884,True
107680,True
620112,True
107670,True
107690,True
606368,True
107730,True
600130,True
604797,True
607109,True
607110,True
607750,True
609900,True
608993,True
607113,True
610976,True
609908,True
605220,True
107710,True
608083,True
107720,True
600745,True
107740,True
107741,True
107760,True
138700,True
603743,True
607252,True
607253,True
607254,True
607255,True
607256,True
612456,True
606907,True
300753,True
300955,True
104760,True
605324,True
604299,True
606231,True
611429,True
102600,True
616048,True
606350,True
107776,True
606578,True
609914,True
609789,True
107777,True
600170,True
600308,True
600442,True
601383,True
602974,True
603750,True
602914,True
610548,True
313700,True
311010,True
606646,True
606645,True
606647,True
621249,True
612461,True
600820,True
104640,True
615380,True
103180,True
103190,True
601177,True
103188,True
600464,True
608377,True
606908,True
612439,True
604141,True
605371,True
617411,True
605928,True
601638,True
604699,True
608313,True
107830,True
611164,True
614046,True
602732,True
609746,True
610589,True
616310,True
610577,True
610578,True
608293,True
613351,True
611587,True
609568,True
609870,True
610585,True
610590,True
610586,True
610587,True
605370,True
610591,True
610592,True
610496,True
614264,True
610911,True
608541,True
614902,True
605277,True
300937,True
615880,True
300023,True
615936,True
617716,True
601155,True
602680,True
300118,True
609405,True
610576,True
601925,True
602843,True
602844,True
601855,True
608136,True
612494,True
605708,True
604763,True
608504,True
618871,True
617043,True
616432,True
612496,True
607560,True
610215,True
617552,True
612790,True
612115,True
620664,True
619919,True
621172,True
605216,True
610018,True
600888,True
300267,True
605477,True
300429,True
603024,True
614556,True
609539,True
603265,True
612457,True
620868,True
180201,True
609696,True
611583,True
608538,True
605624,True
605615,True
621303,True
603425,True
609351,True
301144,True
608922,True
614439,True
612295,True
619117,True
601175,True
615407,True
604695,True
604786,True
604787,True
600732,True
608960,True
608909,True
608845,True
607669,True
607668,True
605709,True
616495,True
616597,True
616596,True
612405,True
620530,True
618053,True
620385,True
611864,True
620377,True
618424,True
611226,True
615549,True
618521,True
617612,True
300362,True
300363,True
300364,True
301046,True
301047,True
301048,True
620867,True
611313,True
126110,True
606036,True
604220,True
604223,True
604224,True
604225,True
604226,True
604227,True
621450,True
615543,True
605487,True
605488,True
301770,True
107940,True
107941,True
619768,True
621542,True
612464,True
619788,True
620944,True
607574,True
611542,True
300002,True
300003,True
610008,True
300586,True
610009,True
610010,True
610011,True
300180,True
601625,True
603086,True
110600,True
610625,True
603886,True
611647,True
602269,True
300382,True
611806,True
613468,True
611202,True
610987,True
605953,True
603817,True
616594,True
605758,True
615054,True
300626,True
300891,True
615055,True
619757,True
615056,True
619936,True
621134,True
605759,True
605760,True
605761,True
615050,True
615051,True
615052,True
615053,True
300890,True
614215,True
614216,True
614217,True
100790,True
601886,True
609154,True
609155,True
620809,True
619740,True
609189,True
609190,True
108360,True
108361,True
607999,True
621596,True
604782,True
602866,True
601784,True
611741,True
606715,True
616693,True
600201,True
608310,True
300015,True
402500,True
300162,True
400011,True
108370,True
619739,True
608034,True
618472,True
600582,True
605481,True
608135,True
610647,True
611765,True
606236,True
609212,True
603470,True
620693,True
608860,True
600904,True
612856,True
612990,True
612991,True
615115,True
605797,True
614452,True
611941,True
615347,True
612316,True
612317,True
617227,True
609534,True
615556,True
608179,True
607103,True
123803,True
123811,True
603148,True
604064,True
606398,True
605537,True
600984,True
606371,True
613644,True
613645,True
610800,True
615089,True
609608,True
615088,True
613515,True
610767,True
618716,True
616225,True
616226,True
609606,True
300663,True
611338,True
611339,True
611340,True
604261,True
608760,True
612204,True
612205,True
601731,True
606439,True
609368,True
609369,True
607585,True
614693,True
607462,True
601461,True
609875,True
619820,True
620168,True
620169,True
602270,True
605855,True
619791,True
619815,True
605868,True
605869,True
300516,True
182360,True
619118,True
610513,True
610232,True
609556,True
619119,True
182310,True
618305,True
182340,True
182350,True
607321,True
182330,True
182331,True
601867,True
301073,True
619760,True
108730,True
108740,True
601929,True
108731,True
108733,True
300014,True
108732,True
604384,True
613082,True
137216,True
137217,True
164360,True
102910,True
108729,True
603150,True
606153,True
614981,True
603192,True
603193,True
602736,True
601519,True
619792,True
617473,True
604573,True
615204,True
603270,True
618121,True
603152,True
600828,True
300197,True
300556,True
192130,True
611716,True
605239,True
603717,True
108745,True
607028,True
618072,True
603931,True
611019,True
607027,True
192132,True
606939,True
603097,True
618070,True
609398,True
108746,True
617385,True
607160,True
607296,True
606853,True
618071,True
608861,True
300011,True
606882,True
609542,True
605870,True
602397,True
605867,True
605866,True
609123,True
609126,True
614446,True
608917,True
608918,True
618568,True
601215,True
619682,True
606605,True
603130,True
612869,True
300032,True
601556,True
611150,True
614301,True
601517,True
607931,True
607047,True
300920,True
607640,True
619010,True
615579,True
613289,True
603680,True
600529,True
620397,True
602434,True
603072,True
609183,True
604970,True
603495,True
607270,True
605265,True
613397,True
612927,True
192340,True
618537,True
600821,True
600264,True
300538,True
300924,True
300925,True
603816,True
604025,True
109135,True
194460,True
609916,True
607909,True
608353,True
162815,True
109700,True
603094,True
610194,True
603093,True
603018,True
603095,True
604066,True
615291,True
620239,True
151290,True
607497,True
606374,True
610308,True
605581,True
605863,True
605864,True
615333,True
615315,True
615313,True
615357,True
601873,True
111730,True
612220,True
618560,True
137060,True
604013,True
604014,True
604015,True
604016,True
604017,True
604327,True
605517,True
614144,True
611951,True
606602,True
602938,True
612766,True
610497,True
617215,True
604252,True
614263,True
605668,True
602751,True
605394,True
603167,True
601497,True
603882,True
603883,True
603884,True
603885,True
142590,True
617776,True
617777,True
617646,True
613880,True
605475,True
611877,True
617536,True
604009,True
600516,True
604444,True
619589,True
603811,True
610292,True
611564,True
603089,True
601593,True
605211,True
605212,True
603260,True
604823,True
605940,True
612476,True
614983,True
612470,True
600040,True
605680,True
605681,True
605682,True
605683,True
605854,True
613605,True
620496,True
603312,True
209901,True
610148,True
610683,True
606151,True
600374,True
603650,True
607590,True
607968,True
621127,True
612773,True
600347,True
619612,True
300398,True
602941,True
604704,True
613746,True
602968,True
605783,True
607470,True
607471,True
113520,True
113530,True
611883,True
619601,True
177400,True
608348,True
248611,True
614901,True
603517,True
606557,True
606558,True
151430,True
601056,True
600039,True
606910,True
603827,True
610837,True
619822,True
606126,True
619660,True
601931,True
109560,True
109565,True
608992,True
601406,True
605846,True
605847,True
602597,True
609004,True
612588,True
301159,True
605748,True
611740,True
300485,True
300688,True
151410,True
603647,True
606089,True
603063,True
600337,True
113503,True
113505,True
611468,True
607012,True
612051,True
604378,True
615687,True
618597,True
301150,True
616374,True
621197,True
621198,True
621217,True
607854,True
607335,True
