gene_symbol,total_submissions,total_alleles,pathogenic_likely_pathogenic_alleles,uncertain_alleles,conflict_alleles,yield_bin
A-GAMMA3'E,8,8,,1.0,0.0,none
A1BG,107,106,,85.0,0.0,none
A1BG-AS1,56,48,,32.0,0.0,none
A1CF,103,92,1.0,61.0,0.0,1-5
A2M,344,276,,154.0,0.0,none
A2M-AS1,18,17,,1.0,0.0,none
A2ML1,3243,2056,2.0,1051.0,87.0,1-5
A2ML1-AS1,350,231,1.0,112.0,0.0,1-5
A2ML1-AS2,1,1,1.0,,,1-5
A3GALT2,23,20,,3.0,0.0,none
A4GALT,218,188,6.0,100.0,0.0,6-20
A4GNT,84,83,,56.0,0.0,none
AAAS,835,586,111.0,143.0,12.0,100+
AACS,224,170,,117.0,0.0,none
AADAC,84,82,,56.0,0.0,none
AADACL2,81,81,,59.0,0.0,none
AADACL2-AS1,142,140,,121.0,0.0,none
AADACL3,107,104,4.0,62.0,0.0,1-5
AADACL4,128,128,1.0,75.0,0.0,1-5
AADAT,124,102,,24.0,0.0,none
AAGAB,249,177,26.0,81.0,6.0,21-100
AAK1,170,158,,100.0,0.0,none
AAMDC,101,96,,72.0,0.0,none
AAMP,94,89,,53.0,0.0,none
AANAT,91,74,,43.0,0.0,none
AAR2,80,76,1.0,56.0,0.0,1-5
AARD,89,87,,28.0,0.0,none
AARS1,2710,1755,97.0,865.0,82.0,21-100
AARS2,1277,735,75.0,318.0,47.0,21-100
AARSD1,63,63,,54.0,0.0,none
AASDH,261,190,,133.0,0.0,none
AASDHPPT,72,72,,48.0,0.0,none
AASS,427,349,29.0,161.0,3.0,21-100
AATBC,52,47,,2.0,0.0,none
AATF,301,261,,99.0,0.0,none
ABAT,1208,920,53.0,390.0,33.0,21-100
ABCA1,3415,2018,80.0,698.0,139.0,21-100
ABCA10,325,241,1.0,195.0,0.0,1-5
ABCA12,2430,1866,217.0,428.0,120.0,100+
ABCA13,1107,971,4.0,736.0,7.0,1-5
ABCA2,954,782,16.0,443.0,5.0,6-20
ABCA3,2814,1954,144.0,562.0,114.0,100+
ABCA4,9654,4647,1537.0,1122.0,333.0,100+
ABCA5,424,316,9.0,205.0,0.0,6-20
ABCA6,277,272,1.0,212.0,0.0,1-5
ABCA7,753,615,24.0,382.0,12.0,21-100
ABCA8,354,313,1.0,245.0,1.0,1-5
ABCA9,282,262,1.0,209.0,0.0,1-5
ABCA9-AS1,40,36,,26.0,0.0,none
ABCB1,873,797,7.0,114.0,0.0,6-20
ABCB10,181,172,,108.0,0.0,none
ABCB11,3921,2236,414.0,686.0,181.0,100+
ABCB4,2731,1606,260.0,711.0,104.0,100+
ABCB5,307,283,,206.0,0.0,none
ABCB6,539,366,10.0,209.0,11.0,6-20
ABCB7,806,564,13.0,138.0,12.0,6-20
ABCB8,273,237,,118.0,0.0,none
ABCB9,195,191,,141.0,0.0,none
