source_organism,source_species
Human betaherpesvirus 5,Human betaherpesvirus 5
Artemisia vulgaris,Artemisia vulgaris
Hepatitis delta virus TW2667,Hepatitis delta virus
SARS-CoV1,SARS-CoV1
Schistosoma mansoni,Schistosoma mansoni
Salmonella typhi Ty21a,Salmonella enterica
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Salmonella enterica
Homo sapiens,Homo sapiens
Mycobacterium tuberculosis,Mycobacterium tuberculosis
Friend murine leukemia virus,Gammaretrovirus murleu
Hepatitis C virus subtype 1b,Orthohepacivirus hominis
Hepatitis B virus,Orthohepadnavirus hominoidei
Human papillomavirus 16,Alphapapillomavirus 9
Arachis hypogaea,Arachis hypogaea
Human herpesvirus 5 strain AD169,Human betaherpesvirus 5
human respiratory syncytial virus,human respiratory syncytial virus
Plasmodium falciparum NF54,Plasmodium falciparum
Aspergillus fumigatus,Aspergillus fumigatus
Mycobacterium tuberculosis H37Rv,Mycobacterium tuberculosis
Orthohepacivirus hominis,Orthohepacivirus hominis
Torpedo marmorata,Torpedo marmorata
Bos taurus,Bos taurus
human gammaherpesvirus 4,human gammaherpesvirus 4
Influenza A virus,Influenza A virus
Lassa virus Josiah,Mammarenavirus lassaense
Plasmodium falciparum,Plasmodium falciparum
Human adenovirus 5,Mastadenovirus caesari
Human herpesvirus 4 strain B95-8,human gammaherpesvirus 4
Plasmodium vivax,Plasmodium vivax
Borreliella burgdorferi,Borreliella burgdorferi
SARS coronavirus BJ01,SARS-CoV1
Influenza A virus H3N2 (A/Resvir-9 (H3N2)),Influenza A virus
Dengue virus 2 Thailand/16681/84,Dengue virus
Mycobacterium tuberculosis H37Ra,Mycobacterium tuberculosis
Trypanosoma cruzi,Trypanosoma cruzi
Mycobacterium leprae,Mycobacterium leprae
Modified Vaccinia Ankara virus,Orthopoxvirus vaccinia
dengue virus type 4,Dengue virus
dengue virus type 3,Dengue virus
Mycobacterium tuberculosis variant bovis BCG,Mycobacterium tuberculosis
Mycobacterium avium,Mycobacterium avium
Human immunodeficiency virus 1,Lentivirus humimdef1
Influenza A virus (A/Victoria/3/1975(H3N2)),Influenza A virus
Influenza A virus H3N2,Influenza A virus
human papillomavirus 52,Alphapapillomavirus 9
human papillomavirus 31,Alphapapillomavirus 9
Hepatitis C virus (isolate Japanese),Orthohepacivirus hominis
Hantaan virus 76-118,Orthohantavirus hantanense
Influenza A virus (A/Texas/36/1991(H1N1)),Influenza A virus
Dengue virus type 3 CH53489,Dengue virus
Dengue virus 2 Thailand/NGS-C/1944,Dengue virus
Borreliella afzelii,Borreliella afzelii
Influenza A virus (A/Puerto Rico/8/1934(H1N1)),Influenza A virus
Francisella tularensis subsp. holarctica LVS,Francisella tularensis
Mycobacterium tuberculosis str. Erdman = ATCC 35801,Mycobacterium tuberculosis
Lyssavirus rabies,Lyssavirus rabies
Rabies virus ERA,Lyssavirus rabies
Influenza A virus (A/nt/60/1968(H3N2)),Influenza A virus
Dengue virus 4 Dominica/814669/1981,Dengue virus
Toxoplasma gondii,Toxoplasma gondii
Human coronavirus 229E,Alphacoronavirus chicagoense
Influenza A virus (A/Hong Kong/2/68(H3N2)),Influenza A virus
Orthohantavirus puumalaense,Orthohantavirus puumalaense
Human respiratory syncytial virus A2,human respiratory syncytial virus
Ricinus communis,Ricinus communis
Orthopoxvirus vaccinia,Orthopoxvirus vaccinia
Hepatitis C virus genotype 1,Orthohepacivirus hominis
Hepatitis C virus (isolate BK),Orthohepacivirus hominis
Hepatitis C virus (isolate H),Orthohepacivirus hominis
Hepatitis C virus isolate HC-J6,Orthohepacivirus hominis
Influenza A virus (A/Netherlands/785e/90 (H3N2)),Influenza A virus
Influenza A virus (A/Netherlands/018/94 (H3N2)),Influenza A virus
Mycobacterium,Mycobacterium
dengue virus type 2,Dengue virus
Mammarenavirus mopeiaense,Mammarenavirus mopeiaense
Mycobacterium tuberculosis CDC1551,Mycobacterium tuberculosis
Yellow fever virus 17D,Yellow fever virus
Influenza A virus (A/Texas/1/1977(H3N2)),Influenza A virus
Human alphaherpesvirus 2,Human alphaherpesvirus 2
Human herpesvirus 6 (strain Uganda-1102),Roseolovirus humanbeta6a
Human adenovirus 40,Mastadenovirus faecale
Human herpesvirus 7 strain JI,Roseolovirus humanbeta7
Influenza A virus (A/Udorn/307/1972(H3N2)),Influenza A virus
Influenza B virus (B/Ann Arbor/1/1986),Influenza B virus
Influenza B virus (B/Hong Kong/8/1973),Influenza B virus
Human T-cell leukemia virus type I,Deltaretrovirus priTlym1
Influenza B virus (B/Lee/1940),Influenza B virus
Influenza A virus (A/X-31(H3N2)),Influenza A virus
Hepatitis B virus adw/Okinawa/PODW282,Orthohepadnavirus hominoidei
Measles virus strain Edmonston-B,Measles morbillivirus
Hepatitis B virus subtype ayw,Orthohepadnavirus hominoidei
Measles virus strain Edmonston,Measles morbillivirus
Human immunodeficiency virus type 1 BH10,Lentivirus humimdef1
Dermatophagoides pteronyssinus,Dermatophagoides pteronyssinus
Chlamydia trachomatis,Chlamydia trachomatis
Hepatitis B virus subtype adyw,Orthohepadnavirus hominoidei
Clostridium tetani,Clostridium tetani
Ambrosia artemisiifolia var. elatior,Ambrosia artemisiifolia
Influenza A virus (A/Japan/305-/1957(H2N2)),Influenza A virus
Hepatitis C virus (isolate Taiwan),Orthohepacivirus hominis
Plasmodium falciparum 7G8,Plasmodium falciparum
Human parvovirus B19,Erythroparvovirus primate1
Orthohantavirus hantanense,Orthohantavirus hantanense
Human gammaherpesvirus 8,Rhadinovirus humangamma8
Influenza A virus (A/Beijing/32/1992(H3N2)),Influenza A virus
Influenza A virus (A/chicken/Rostock/8/1934(H7N1)),Influenza A virus
Influenza B virus,Influenza B virus
H3N2 subtype Influenza A virus (A/Hong Kong(H3N2)),Influenza A virus
Influenza A virus (A/Aichi/2/1968(H3N2)),Influenza A virus
Influenza A virus (A/X-47(H3N2)),Influenza A virus
Influenza A virus (A/Alaska/6/1977(H3N2)),Influenza A virus
Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Lentivirus humimdef1
Rotavirus G4,Rotavirus alphagastroenteritidis
Triticum aestivum,Triticum aestivum
human papillomavirus 44,Alphapapillomavirus 10
Orthohantavirus sinnombreense,Orthohantavirus sinnombreense
Listeria monocytogenes,Listeria monocytogenes
Vibrio cholerae,Vibrio cholerae
Influenza A virus (STRAIN A/EQUINE/NEW MARKET/76),Influenza A virus
Influenza A virus (A/New_York/17/94(H3N2)),Influenza A virus
Influenza A virus (A/Ohio/3/95(H3N2)),Influenza A virus
Influenza A virus (A/swine/Hong Kong/126/1982(H3N2)),Influenza A virus
Influenza A virus (A/Sydney/05/97-like(H3N2)),Influenza A virus
Influenza A virus (A/France/75/97(H3N2)),Influenza A virus
Influenza A virus (A/New_York/15/94(H3N2)),Influenza A virus
Influenza A virus (A/Nanchang/58/1993(H3N2)),Influenza A virus
Influenza A virus (A/USSR/26/1985(H3N2)),Influenza A virus
Influenza A virus (A/Christchurch/2/1988(H3N2)),Influenza A virus
Influenza A virus (A/Argentina/3779/94(H3N2)),Influenza A virus
Influenza A virus (A/Shangdong/5/94(H3N2)),Influenza A virus
Influenza A virus (A/Cordoba/3278/96(H3N2)),Influenza A virus
Human papillomavirus 29,Alphapapillomavirus 2
Human immunodeficiency virus 2,Lentivirus humimdef2
Saimiriine gammaherpesvirus 2,Rhadinovirus saimiriinegamma2
Human betaherpesvirus 6B,Human betaherpesvirus 6B
Heron hepatitis B virus,Avihepadnavirus ciconiardeae
Little cherry virus 1,Velarivirus nanoavii
Cowpox virus (Brighton Red) White-pock,Orthopoxvirus cowpox
Vesicular stomatitis virus,Vesicular stomatitis virus
Mycobacterium tuberculosis variant bovis AN5,Mycobacterium tuberculosis
Mycobacterium intracellulare,Mycobacterium intracellulare
Mycobacterium leprae TN,Mycobacterium leprae
Staphylococcus aureus,Staphylococcus aureus
Influenza A virus (A/Vietnam/1194/2004(H5N1)),Influenza A virus
dengue virus type 1,Dengue virus
Toxoplasma gondii RH,Toxoplasma gondii
Vaccinia virus WR,Orthopoxvirus vaccinia
Yersinia enterocolitica,Yersinia enterocolitica
Vaccinia virus NYCBH - Dryvax,Orthopoxvirus vaccinia
Dengue virus 1 Singapore/S275/1990,Dengue virus
Dengue virus 4 Thailand/0348/1991,Dengue virus
Hepatitis C virus (isolate H77),Orthohepacivirus hominis
Hepatitis C virus (isolate 1),Orthohepacivirus hominis
Hepatitis C virus genotype 6,Orthohepacivirus hominis
Hepatitis C virus isolate HC-J1,Orthohepacivirus hominis
Hepatitis C virus isolate HC-J8,Orthohepacivirus hominis
Hepatitis C virus subtype 2a,Orthohepacivirus hominis
Hepatitis C virus JFH-1,Orthohepacivirus hominis
hepatitis C virus genotype 1a,Orthohepacivirus hominis
Borrelia burgdorferi CA12,Borreliella burgdorferi
Streptococcus pyogenes serotype M5,Streptococcus pyogenes
