db_object_id,db_object_symbol,db_object_name,db_object_type
A0A024RBG1,NUDT4B,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,protein
A0A075B6N1,TRBV19,T cell receptor beta variable 19,protein
A0A075B6P5,IGKV2-28,Immunoglobulin kappa variable 2-28,protein
A0A075B6S6,IGKV2D-30,Immunoglobulin kappa variable 2D-30,protein
A0A075B6T8,TRAV9-1,T cell receptor alpha variable 9-1,protein
A0A087WT01,TRAV27,T cell receptor alpha variable 27,protein
A0A087X1C5,CYP2D7,Cytochrome P450 2D7,protein
A0A096LP01,SMIM26,Small integral membrane protein 26,protein
A0A096LP55,UQCRHL,"Cytochrome b-c1 complex subunit 6-like, mitochondrial",protein
A0A0A6YYK7,TRAV19,T cell receptor alpha variable 19,protein
A0A0B4J2F0,PIGBOS1,Protein PIGBOS1,protein
A0A0C4DH25,IGKV3D-20,Immunoglobulin kappa variable 3D-20,protein
A0A0C4DH73,IGKV1-12,Immunoglobulin kappa variable 1-12,protein
A0A0C5B5G6,MT-RNR1,Mitochondrial-derived peptide MOTS-c,protein
A0A0K2S4Q6,CD300H,Protein CD300H,protein
A0A0U1RQF7,DPEP2NB,DPEP2 neighbor protein,protein
A0A0U1RRE5,NBDY,Negative regulator of P-body association,protein
A0A1B0GTB2,TUNAR,Protein TUNAR,protein
A0A1B0GTK4,FAM237A,Protein FAM237A,protein
A0A1B0GTL2,C20orf204,Uncharacterized protein C20orf204,protein
A0A1B0GTQ4,MYMX,Protein myomixer,protein
A0A1B0GTR4,SPRR5,Small proline-rich protein 5,protein
A0A1B0GUV7,TEX48,Testis-expressed protein 48,protein
A0A1B0GUW7,TZMP1,Transition zone microprotein 1,protein
A0A1B0GV85,REELD1,Reelin domain-containing protein 1,protein
A0A1B0GVM2,TCAF2C,Peptidase M60 domain-containing protein,protein
A0A1B0GVQ0,SPAAR,Small regulatory polypeptide of amino acid response,protein
A0A1B0GWG4,SERTM2,Serine-rich and transmembrane domain-containing protein 2,protein
A0A1W2PPF3,DUXB,Double homeobox protein B,protein
A0A2R8Y4L2,HNRNPA1L3,Heterogeneous nuclear ribonucleoprotein A1-like 3,protein
A0A2R8Y7D0,TINCR,Ubiquitin domain-containing protein TINCR,protein
A0A3B3IS91,POLGARF,POLG alternative reading frame,protein
A0A455ZAR2,LINC-PINT,Transcriptional regulator PINT87aa,protein
A0A494C1I1,SMIM48,Small integral membrane protein 48,protein
A0A590UK10,ARHGEF18,Rho guanine nucleotide exchange factor 18,protein
A0A590UK83,SMIM45,Small integral membrane protein 45,protein
A0A5B9,TRBC2,T cell receptor beta constant 2,protein
A0A6I8PU40,TUG1,Taurine up-regulated 1 protein,protein
A0A7L8Y648,AQP5-AS1,Micropeptide inhibiting actin cytoskeleton,protein
A0A7P0TBJ1,HAPSTR2,HUWE1-associated protein modifying stress responses 2,protein
A0AV02,SLC12A8,Solute carrier family 12 member 8,protein
A0AV96,RBM47,RNA-binding protein 47,protein
A0AVF1,IFT56,Intraflagellar transport protein 56,protein
A0AVI4,TMEM129,E3 ubiquitin-protein ligase TM129,protein
A0AVK6,E2F8,Transcription factor E2F8,protein
A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,protein
A0FGR8,ESYT2,Extended synaptotagmin-2,protein
A0FGR9,ESYT3,Extended synaptotagmin-3,protein
A0JLT2,MED19,Mediator of RNA polymerase II transcription subunit 19,protein
A0JNW5,BLTP3B,Bridge-like lipid transfer protein family member 3B,protein
A0JP26,POTEB3,POTE ankyrin domain family member B3,protein
A0M8Q6,IGLC7,Immunoglobulin lambda constant 7,protein
A0MZ66,SHTN1,Shootin-1,protein
A0PJK1,SLC5A10,Sodium/mannose cotransporter SLC5A10,protein
A0PJW6,TMEM223,Transmembrane protein 223,protein
A0PJW8,DAPL1,Death-associated protein-like 1,protein
A0PJX0,CIB4,Calcium and integrin-binding family member 4,protein
A0PJX4,SHISA3,Protein shisa-3 homolog,protein
A0PJY2,FEZF1,Fez family zinc finger protein 1,protein
A0PJZ3,GXYLT2,Glucoside xylosyltransferase 2,protein
A0PK00,TMEM120B,Transmembrane protein 120B,protein
A0PK05,TMEM72,Transmembrane protein 72,protein
A0PK11,CLRN2,Clarin-2,protein
A1A4S6,ARHGAP10,Rho GTPase-activating protein 10,protein
A1A4Y4,IRGM,Immunity-related GTPase family M protein,protein
A1A519,FAM170A,Protein FAM170A,protein
A1A580,KRTAP23-1,Keratin-associated protein 23-1,protein
A1A5B4,ANO9,Anoctamin-9,protein
A1A5C7,SLC22A23,Solute carrier family 22 member 23,protein
A1A5D9,BICDL2,BICD family-like cargo adapter 2,protein
A1E959,ODAM,Odontogenic ameloblast-associated protein,protein
A1IGU5,ARHGEF37,Rho guanine nucleotide exchange factor 37,protein
A1KXE4,FAM168B,Myelin-associated neurite-outgrowth inhibitor,protein
A1KZ92,PXDNL,Probable oxidoreductase PXDNL,protein
A1L020,MEX3A,RNA-binding protein MEX3A,protein
A1L0T0,HACL2,2-hydroxyacyl-CoA lyase 2,protein
A1L162,ERICH2,Glutamate-rich protein 2,protein
A1L167,UBE2QL1,Ubiquitin-conjugating enzyme E2Q-like protein 1,protein
A1L168,C20orf202,Uncharacterized protein C20orf202,protein
A1L170,C1orf226,Uncharacterized protein C1orf226,protein
A1L188,NDUFAF8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,protein
A1L190,SYCE3,Synaptonemal complex central element protein 3,protein
A1L1A6,IGSF23,Immunoglobulin superfamily member 23,protein
A1L390,PLEKHG3,Pleckstrin homology domain-containing family G member 3,protein
A1L3X0,ELOVL7,Very long chain fatty acid elongase 7,protein
A1L3X4,MT1DP,Putative metallothionein MT1DP,protein
A1L429,GAGE12B,G antigen 12B/C/D/E,protein
A1L4H1,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,protein
A1L4K1,FSD2,Fibronectin type III and SPRY domain-containing protein 2,protein
A1X283,SH3PXD2B,SH3 and PX domain-containing protein 2B,protein
A1XBS5,CIBAR1,CBY1-interacting BAR domain-containing protein 1,protein
A1YPR0,ZBTB7C,Zinc finger and BTB domain-containing protein 7C,protein
A1Z1Q3,MACROD2,ADP-ribose glycohydrolase MACROD2,protein
A2A288,ZC3H12D,Probable ribonuclease ZC3H12D,protein
A2A2V5,SERTM1,Serine-rich and transmembrane domain-containing protein 1,protein
A2A2Y4,FRMD3,FERM domain-containing protein 3,protein
A2A3K4,PTPDC1,Protein tyrosine phosphatase domain-containing protein 1,protein
