go_id,aspect
GO:0005515,F
GO:0042105,C
GO:0005576,C
GO:0005886,C
GO:0002250,P
GO:0019814,C
GO:0006955,P
GO:0050830,P
GO:0070330,F
GO:0006805,P
GO:0042178,P
GO:0016712,F
GO:0005737,C
GO:0005739,C
GO:0019901,F
GO:0030674,F
GO:0044325,F
GO:0140978,F
GO:0005741,C
GO:0005743,C
GO:1900101,P
GO:0003677,F
GO:0140297,F
GO:0001649,P
GO:0006357,P
GO:0032147,P
GO:0033687,P
GO:0043610,P
GO:0048630,P
GO:0071902,P
GO:0072522,P
GO:2001145,P
GO:0005634,C
GO:0042803,F
GO:0030593,P
GO:0000956,P
GO:0010607,P
GO:0000932,C
GO:0051117,F
GO:0032469,P
GO:0035774,P
GO:0005783,C
GO:0005789,C
GO:0007520,P
GO:0014905,P
GO:0045618,P
GO:0060271,P
GO:0035869,C
GO:0030054,C
GO:0046611,C
GO:0071230,P
GO:1904262,P
GO:0005765,C
GO:0031902,C
GO:0005654,C
GO:0010838,P
GO:0070161,C
GO:0005730,C
GO:0000122,P
GO:0005829,C
GO:0042551,P
GO:0031965,C
GO:0031966,C
GO:0007015,P
GO:0042058,P
GO:0031625,F
GO:0050821,P
GO:0003723,F
GO:0003730,F
GO:0019899,F
GO:0140767,F
GO:0000381,P
GO:0016554,P
GO:0060340,P
GO:0070935,P
GO:0030895,C
GO:0005929,C
GO:0097542,C
GO:0030991,C
GO:0030992,C
GO:0061630,F
GO:0000209,P
GO:0006511,P
GO:0016567,P
GO:0030970,P
GO:0036503,P
GO:0000978,F
GO:0000987,F
GO:0001227,F
GO:0003700,F
GO:1990837,F
GO:0002040,P
GO:0045944,P
GO:0019780,F
GO:0005509,F
GO:0005544,F
GO:0008429,F
GO:0031210,F
GO:0035091,F
GO:0042802,F
GO:0045296,F
GO:0009898,C
GO:0016020,C
GO:0044232,C
GO:0140268,C
GO:0016604,C
GO:0070847,C
GO:0062069,F
GO:0120013,F
GO:0034498,P
GO:0120009,P
GO:0005769,C
GO:2001224,P
GO:0005874,C
GO:0015370,F
GO:0008645,P
GO:0070062,C
GO:0097177,F
GO:0033617,P
GO:0000287,F
GO:0035252,F
GO:0180059,P
GO:0031901,C
GO:0007605,P
GO:0005096,F
GO:0051056,P
GO:0010008,C
GO:0003924,F
GO:0003925,F
GO:0043539,F
GO:0050700,F
GO:0051434,F
GO:0000045,P
GO:0001934,P
GO:0010508,P
GO:0010800,P
GO:0031648,P
GO:0032480,P
GO:0033138,P
GO:0042742,P
GO:0043124,P
GO:0043254,P
GO:0045087,P
GO:0050687,P
GO:0050728,P
GO:0050829,P
GO:0060335,P
GO:0061635,P
GO:0061739,P
GO:0061762,P
GO:0065003,P
GO:0070431,P
GO:0071211,P
GO:0071222,P
GO:0098586,P
GO:0160049,P
GO:1900226,P
GO:1901098,P
GO:1901526,P
GO:1904417,P
GO:1905673,P
GO:0000421,C
GO:0000139,C
GO:0005794,C
GO:0006366,P
GO:0045893,P
GO:0005229,F
GO:0005254,F
GO:0005262,F
GO:0015267,F
GO:0019869,F
GO:0034220,P
GO:1902476,P
GO:0006954,P
GO:0010628,P
GO:0032956,P
GO:0042475,P
GO:0043547,P
GO:0060054,P
GO:0071944,C
GO:0099512,C
GO:0072583,P
GO:0140144,C
GO:0140149,C
GO:0001561,P
GO:0061631,F
GO:0032981,P
