iso_code,entity_type
AFG,country
OWID_AFR,aggregate
ALB,country
DZA,country
AND,country
AGO,country
AIA,country
ATG,country
ARG,country
ARM,country
ABW,country
OWID_ASI,aggregate
AUS,country
AUT,country
AZE,country
BHS,country
BHR,country
BGD,country
BRB,country
BLR,country
BEL,country
BLZ,country
BEN,country
BMU,country
BTN,country
BOL,country
BES,country
BIH,country
BWA,country
BRA,country
VGB,country
BRN,country
BGR,country
BFA,country
BDI,country
KHM,country
CMR,country
CAN,country
CPV,country
CYM,country
CAF,country
TCD,country
CHL,country
CHN,country
COL,country
COM,country
COG,country
COK,country
CRI,country
CIV,country
HRV,country
CUB,country
CUW,country
CYP,country
CZE,country
COD,country
DNK,country
DJI,country
DMA,country
DOM,country
ECU,country
EGY,country
SLV,country
OWID_ENG,aggregate
GNQ,country
EST,country
SWZ,country
ETH,country
OWID_EUR,aggregate
OWID_EUN,aggregate
FRO,country
FLK,country
FJI,country
FIN,country
FRA,country
PYF,country
GAB,country
GMB,country
GEO,country
DEU,country
GHA,country
GIB,country
GRC,country
GRL,country
GRD,country
GTM,country
GGY,country
GIN,country
GNB,country
GUY,country
HTI,country
OWID_HIC,aggregate
HND,country
HKG,country
HUN,country
ISL,country
IND,country
IDN,country
IRN,country
IRQ,country
IRL,country
IMN,country
ISR,country
ITA,country
JAM,country
JPN,country
JEY,country
JOR,country
KAZ,country
KEN,country
KIR,country
OWID_KOS,aggregate
KWT,country
KGZ,country
LAO,country
LVA,country
LBN,country
LSO,country
LBR,country
LBY,country
LIE,country
LTU,country
OWID_LIC,aggregate
OWID_LMC,aggregate
LUX,country
MAC,country
MDG,country
MWI,country
MYS,country
MDV,country
MLI,country
MLT,country
MRT,country
MUS,country
MEX,country
MDA,country
MCO,country
MNG,country
MNE,country
MSR,country
MAR,country
MOZ,country
MMR,country
NAM,country
NRU,country
NPL,country
NLD,country
NCL,country
NZL,country
NIC,country
NER,country
NGA,country
NIU,country
OWID_NAM,aggregate
MKD,country
OWID_CYN,aggregate
OWID_NIR,aggregate
NOR,country
OWID_OCE,aggregate
OMN,country
PAK,country
PSE,country
PAN,country
PNG,country
PRY,country
PER,country
PHL,country
PCN,country
POL,country
PRT,country
QAT,country
ROU,country
RUS,country
RWA,country
SHN,country
KNA,country
LCA,country
VCT,country
WSM,country
SMR,country
STP,country
SAU,country
OWID_SCT,aggregate
SEN,country
SRB,country
SYC,country
SLE,country
SGP,country
SXM,country
SVK,country
SVN,country
SLB,country
SOM,country
ZAF,country
OWID_SAM,aggregate
KOR,country
SSD,country
ESP,country
LKA,country
SDN,country
SUR,country
SWE,country
CHE,country
SYR,country
TWN,country
TJK,country
TZA,country
THA,country
TLS,country
TGO,country
TKL,country
TON,country
TTO,country
TUN,country
TUR,country
TKM,country
TCA,country
TUV,country
UGA,country
UKR,country
ARE,country
GBR,country
USA,country
OWID_UMC,aggregate
URY,country
UZB,country
VUT,country
VEN,country
VNM,country
OWID_WLS,aggregate
WLF,country
OWID_WRL,aggregate
YEM,country
ZMB,country
ZWE,country
