entity,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Falkland Islands,FLK,2021-04-14,4407.0,2632.0,1775.0,,69.24,46.7
Saint Helena,SHN,2021-05-05,7892.0,4361.0,3531.0,,80.74,65.38
Bonaire Sint Eustatius and Saba,BES,2021-09-01,35845.0,19109.0,16736.0,,70.64,61.87
Monaco,MCO,2021-12-21,65140.0,28875.0,25667.0,10598.0,79.13,70.34
Bosnia and Herzegovina,BIH,2022-01-29,1924950.0,943394.0,846080.0,,29.18,26.17
Faeroe Islands,FRO,2022-02-18,103894.0,41715.0,40895.0,21284.0,78.53,76.99
Greenland,GRL,2022-03-14,79738.0,41227.0,38511.0,,72.98,68.17
Iceland,ISL,2022-03-29,805469.0,309770.0,290193.0,250542.0,83.07,77.82
Mongolia,MNG,2022-05-18,5492919.0,,,1044337.0,,
San Marino,SMR,2022-05-22,69338.0,26357.0,23633.0,19348.0,78.23,70.15
Suriname,SUR,2022-05-23,505699.0,267820.0,237879.0,48889.0,43.33,38.49
United Arab Emirates,ARE,2022-06-20,24922054.0,9991089.0,9792266.0,5138699.0,105.83,103.72
Isle of Man,IMN,2022-06-23,189994.0,69560.0,67106.0,53328.0,82.29,79.38
Serbia,SRB,2022-06-23,8534688.0,3354075.0,3278198.0,1902412.0,48.81,47.71
Slovenia,SVN,2022-07-06,2996643.0,,,,,
Bermuda,BMU,2022-07-08,132042.0,48554.0,47657.0,35831.0,75.62,74.22
Latvia,LVA,2022-07-11,2895716.0,1346184.0,1305976.0,529562.0,72.74,70.57
Equatorial Guinea,GNQ,2022-07-24,488738.0,270109.0,214032.0,4597.0,16.13,12.78
Congo,COG,2022-07-31,833210.0,695760.0,654119.0,,11.65,10.96
Slovakia,SVK,2022-07-31,5754313.0,2595901.0,2577827.0,684026.0,46.0,45.68
Laos,LAO,2022-08-11,11111066.0,5888649.0,5222417.0,,78.21,69.36
Jordan,JOR,2022-08-21,10057975.0,4821579.0,4558313.0,682211.0,42.72,40.39
Montenegro,MNE,2022-08-26,679171.0,292783.0,284869.0,101519.0,46.69,45.43
Azerbaijan,AZE,2022-08-28,13857111.0,5373253.0,4862494.0,3362453.0,51.88,46.94
Pitcairn,PCN,2022-08-29,117.0,47.0,47.0,23.0,100.0,100.0
Algeria,DZA,2022-09-04,15267442.0,7840131.0,6481186.0,575651.0,17.46,14.43
Scotland,OWID_SCT,2022-09-11,,4549556.0,4285946.0,,83.23,78.41
United Kingdom,GBR,2022-09-11,,53813491.0,50762968.0,,79.71,75.19
Antigua and Barbuda,ATG,2022-09-16,136512.0,64290.0,62384.0,9838.0,68.56,66.53
British Virgin Islands,VGB,2022-09-16,41453.0,19466.0,18261.0,3726.0,62.13,58.28
Trinidad and Tobago,TTO,2022-09-21,1580898.0,753588.0,716898.0,168619.0,49.22,46.82
Cape Verde,CPV,2022-09-25,859940.0,356734.0,308720.0,749.0,60.14,52.05
Thailand,THA,2022-09-30,142635014.0,57005497.0,53486086.0,32143431.0,79.51,74.6
Comoros,COM,2022-10-02,835021.0,438825.0,397080.0,,52.44,47.45
El Salvador,SLV,2022-10-02,11289175.0,4652597.0,4344286.0,2292292.0,73.43,68.56
Dominica,DMA,2022-10-07,67647.0,32995.0,30659.0,3993.0,45.35,42.14
Bolivia,BOL,2022-10-07,14690530.0,7361008.0,6160585.0,2167589.0,60.22,50.4
Zimbabwe,ZWE,2022-10-09,12222754.0,6437808.0,4751270.0,1033676.0,39.45,29.11
Georgia,GEO,2022-10-13,2930677.0,1654504.0,1276173.0,,44.19,34.08
Palestine,PSE,2022-10-18,3748571.0,2012767.0,1776973.0,336967.0,38.34,33.85
Oman,OMN,2022-10-25,7108547.0,3279632.0,3048826.0,779859.0,71.67,66.62
Bhutan,BTN,2022-10-30,2011426.0,699116.0,677669.0,634641.0,89.35,86.61
Sri Lanka,LKA,2022-10-30,40116590.0,17143761.0,14752827.0,8220002.0,78.53,67.57
Solomon Islands,SLB,2022-10-31,625956.0,343821.0,254352.0,27783.0,47.47,35.12
Norway,NOR,2022-11-13,12145560.0,4346995.0,4054726.0,3743839.0,79.99,74.61
Mexico,MEX,2022-11-18,,,,57026630.0,,
Turkey,TUR,2022-11-22,152543341.0,57941051.0,53176961.0,41425329.0,67.89,62.31
Saint Lucia,LCA,2022-12-02,122977.0,60140.0,54971.0,,33.43,30.56
Tokelau,TKL,2022-12-05,5374.0,2203.0,2203.0,968.0,116.38,116.38
Northern Cyprus,OWID_CYN,2022-12-06,,,313067.0,,,81.78
Saint Kitts and Nevis,KNA,2022-12-07,,33794.0,,,70.88,
Venezuela,VEN,2022-12-07,37860994.0,22157232.0,,651502.0,78.29,
Liberia,LBR,2022-12-11,4460668.0,3903802.0,3730967.0,1987.0,73.62,70.36
Montserrat,MSR,2022-12-16,4619.0,2104.0,1952.0,563.0,47.68,44.23
Gibraltar,GIB,2022-12-16,132810.0,42175.0,41465.0,49170.0,129.07,126.89
Benin,BEN,2022-12-18,4232541.0,3697190.0,2742837.0,,27.69,20.54
Guernsey,GGY,2022-12-19,178525.0,54223.0,52710.0,69339.0,85.62,83.23
