accession,keyword
A0A087X1C5,Cytoplasm
A0A087X1C5,Glycoprotein
A0A087X1C5,Heme
A0A087X1C5,Iron
A0A087X1C5,Membrane
A0A087X1C5,Metal-binding
A0A087X1C5,Mitochondrion
A0A087X1C5,Monooxygenase
A0A087X1C5,Oxidoreductase
A0A087X1C5,Proteomics identification
A0A087X1C5,Reference proteome
A0A087X1C5,Transmembrane
A0A087X1C5,Transmembrane helix
A0A096LP01,Alternative splicing
A0A096LP01,Direct protein sequencing
A0A096LP01,Membrane
A0A096LP01,Mitochondrion
A0A096LP01,Mitochondrion outer membrane
A0A096LP01,Proteomics identification
A0A096LP01,Reference proteome
A0A096LP01,Transmembrane
A0A096LP01,Transmembrane helix
A0A0B4J2F0,Direct protein sequencing
A0A0B4J2F0,Membrane
A0A0B4J2F0,Mitochondrion
A0A0B4J2F0,Mitochondrion outer membrane
A0A0B4J2F0,Proteomics identification
A0A0B4J2F0,Reference proteome
A0A0B4J2F0,Transmembrane
A0A0B4J2F0,Transmembrane helix
A0A0B4J2F0,Unfolded protein response
A0A0C5B5G6,DNA-binding
A0A0C5B5G6,Mitochondrion
A0A0C5B5G6,Nucleus
A0A0C5B5G6,Osteogenesis
A0A0C5B5G6,Reference proteome
A0A0C5B5G6,Secreted
A0A0C5B5G6,Transcription
A0A0C5B5G6,Transcription regulation
A0A0K2S4Q6,Alternative splicing
A0A0K2S4Q6,Disulfide bond
A0A0K2S4Q6,Glycoprotein
A0A0K2S4Q6,Immunoglobulin domain
A0A0K2S4Q6,Membrane
A0A0K2S4Q6,Reference proteome
A0A0K2S4Q6,Secreted
A0A0K2S4Q6,Signal
A0A0K2S4Q6,Transmembrane
A0A0K2S4Q6,Transmembrane helix
A0A0U1RRE5,Cytoplasm
A0A0U1RRE5,mRNA processing
A0A0U1RRE5,Proteomics identification
A0A0U1RRE5,Reference proteome
A0A1B0GTW7,Alternative splicing
A0A1B0GTW7,Disease variant
A0A1B0GTW7,Glycoprotein
A0A1B0GTW7,Heterotaxy
A0A1B0GTW7,Hydrolase
A0A1B0GTW7,Membrane
A0A1B0GTW7,Metal-binding
A0A1B0GTW7,Metalloprotease
A0A1B0GTW7,Protease
A0A1B0GTW7,Proteomics identification
A0A1B0GTW7,Reference proteome
A0A1B0GTW7,Signal
A0A1B0GTW7,Transmembrane
A0A1B0GTW7,Transmembrane helix
A0A1B0GTW7,Zinc
A0A2R8Y7D0,3D-structure
A0A2R8Y7D0,Cell junction
A0A2R8Y7D0,Cytoplasm
A0A2R8Y7D0,Nucleus
A0A2R8Y7D0,Proteomics identification
A0A2R8Y7D0,Reference proteome
