accession,has_pdb
A0A087X1C5,False
A0A096LP01,False
A0A0B4J2F0,False
A0A0C5B5G6,False
A0A0K2S4Q6,False
A0A0U1RRE5,False
A0A1B0GTW7,False
A0A2R8Y7D0,True
A0A8I5KQE6,False
A0AV02,False
A0AV96,True
A0AVF1,False
A0AVI4,False
A0AVK6,True
A0AVT1,True
A0FGR8,True
A0FGR9,False
A0JLT2,True
A0JNW5,False
A0JP26,False
A0MZ66,False
A0PJK1,False
A0PJY2,False
A0PK00,True
A0PK05,False
A0PK11,False
A1A4S6,True
A1A4Y4,False
A1A519,False
A1A5B4,False
A1A5C7,False
A1E959,False
A1KXE4,False
A1KZ92,False
A1L0T0,False
A1L167,False
A1L190,True
A1L390,False
A1L3X0,True
A1L4H1,False
A1L4K1,False
A1X283,False
A1XBS5,True
A1Z1Q3,True
A2A288,False
A2A2Y4,False
A2IDD5,False
A2PYH4,False
A2RRP1,False
A2RTX5,False
A2RU14,False
A2RU30,False
A2RU49,False
A2RUB1,False
A2RUB6,False
A2RUC4,True
A2RUH7,False
A2VDJ0,False
A2VEC9,False
A3KMH1,False
A3KN83,False
A4D0S4,False
A4D126,True
A4D161,False
A4D1B5,False
A4D1E9,True
A4D1P6,True
A4D1S5,False
A4D1T9,False
A4D256,False
A4D2B0,True
A4D2B8,False
A4D2P6,False
A4GXA9,True
A4UGR9,True
A5A3E0,False
A5D8T8,False
A5D8V6,False
A5D8V7,True
A5D8W1,False
A5LHX3,False
A5PKW4,False
A5PLL7,False
A5PLN9,False
A5X5Y0,False
A5YKK6,True
A5YM72,False
A6BM72,False
A6H8Y1,True
A6H8Z2,False
A6NC98,False
A6NCS4,False
A6ND01,True
A6ND36,False
A6NDB9,False
A6NDG6,False
A6NDV4,False
A6NED2,True
A6NEM1,False
A6NER3,False
A6NFA1,False
A6NFQ2,False
A6NFX1,False
A6NFY7,False
A6NGG8,True
A6NGQ2,True
A6NGU5,False
A6NHL2,False
A6NHQ2,False
A6NHR9,True
A6NHX0,False
A6NI15,False
A6NI61,False
A6NI73,True
A6NIH7,True
A6NIM6,False
A6NIX2,False
A6NJ78,True
A6NK06,True
A6NK58,False
A6NK89,False
A6NKB5,False
A6NKF2,False
A6NMB9,False
A6NMY6,False
A6NMZ7,False
A6NNB3,False
A6NNM8,False
A6NNN8,False
A6NNY8,False
A6NNZ2,False
A6PVC2,False
A6PVI3,False
A6QL63,False
A7E2V4,False
A7E2Y1,False
A7KAX9,True
A7MCY6,False
A7MD48,False
A8CG34,False
A8K0Z3,False
A8K2U0,True
A8K4G0,False
A8K7I4,True
A8K830,True
A8K8P3,True
A8K8V0,False
A8MPY1,False
A8MQ03,False
A8MQ27,False
A8MT69,True
A8MTA8,True
A8MTJ3,True
A8MTJ6,False
A8MTQ0,False
A8MTZ0,True
A8MUP2,False
A8MV65,False
A8MVW5,False
A8MW92,True
A8MW95,True
A8MW99,False
A8MXD5,False
A8MXV4,False
A8MYU2,True
A8MZ59,False
A8TX70,False
A9QM74,False
A9UHW6,False
A9YTQ3,True
B0I1T2,False
B0L3A2,False
B0YJ81,False
B1AK53,False
B1AL88,True
B2RPK0,False
B2RTY4,False
B2RUY7,False
B2RUZ4,False
B2RXF5,False
B2RXH2,True
B3KU38,False
B6A8C7,False
B7U540,False
B7ZAQ6,False
B7ZBB8,False
C0HME6,False
C4AMC7,False
C9JE40,False
C9JLW8,False
C9JR72,False
C9JRZ8,False
D3W0D1,True
D6RGH6,True
E0CX11,False
E9PQX1,False
F5H094,False
G2XKQ0,True
H0YL14,False
H3BS89,False
H3BV60,False
K7EJ46,False
K9M1U5,True
L0R8F8,True
M0R2J8,False
M5A8F1,True
O00115,False
O00116,False
O00124,False
O00139,True
O00141,True
O00142,False
O00144,False
O00148,True
O00151,True
O00154,True
O00155,False
O00159,True
O00160,False
O00161,True
O00165,False
O00167,True
O00168,True
O00170,True
O00175,True
O00178,True
O00180,True
O00182,True
O00186,False
O00187,True
O00189,True
O00192,False
O00194,True
O00198,True
O00203,True
O00204,True
O00206,True
O00212,True
O00213,True
O00214,True
O00217,True
O00219,False
O00220,True
O00221,False
O00222,True
O00230,True
O00231,True
O00232,True
O00233,False
O00237,False
O00238,True
O00241,True
O00244,True
O00253,True
O00254,False
O00255,True
O00257,True
O00258,True
O00264,True
O00267,True
O00268,True
O00270,False
O00273,True
O00287,True
O00291,True
O00292,False
O00294,True
O00299,True
O00300,True
O00303,True
O00305,True
O00308,True
O00311,True
O00322,False
O00327,True
O00329,True
O00330,True
O00337,False
O00338,True
O00339,False
O00341,False
O00358,False
O00370,True
O00391,True
O00399,True
O00400,True
O00401,True
O00408,True
O00409,True
O00410,True
O00411,True
O00418,True
O00421,False
O00422,True
O00423,True
O00425,True
O00429,True
O00442,False
O00443,True
O00444,True
O00445,True
O00451,True
O00453,False
O00459,True
O00461,False
O00462,False
O00463,True
O00468,True
O00469,False
O00470,True
O00471,False
O00472,True
O00476,False
O00478,True
O00481,True
O00482,True
O00483,True
O00487,True
O00488,True
O00499,True
O00501,False
O00505,False
O00506,True
O00507,False
O00512,True
O00519,False
O00522,True
O00526,False
O00533,False
O00541,True
O00548,True
O00555,True
O00559,False
O00560,True
O00562,True
O00566,True
O00567,True
O00571,True
O00574,False
O00584,True
O00585,True
O00587,False
O00590,True
O00591,True
O00592,False
O00602,True
O00622,True
O00623,False
O00624,False
O00625,True
O00626,False
O00628,False
O00629,True
O00631,True
O00635,False
O00712,True
O00716,False
O00743,False
O00744,False
O00746,True
O00748,False
O00750,False
O00754,False
O00755,True
O00757,True
O00762,True
O00763,True
O00764,True
O00767,True
O14490,True
O14492,True
O14493,True
O14494,True
O14495,False
O14497,True
O14503,False
O14508,True
O14511,False
O14512,False
O14513,False
O14514,False
O14519,True
O14520,True
O14521,True
O14522,True
O14523,True
O14524,False
O14525,False
O14526,True
O14529,True
O14530,False
O14531,True
O14543,False
O14544,True
O14548,False
O14556,True
O14558,True
O14559,False
O14561,True
O14569,False
O14576,False
O14578,False
O14579,True
O14593,True
O14594,False
O14595,True
O14607,True
O14610,False
O14613,False
O14617,True
O14618,True
O14625,True
O14626,False
O14627,False
O14628,False
O14633,False
O14638,True
O14639,False
O14640,True
O14641,True
O14645,True
O14646,True
O14647,False
O14649,True
O14653,True
O14654,False
O14656,True
O14657,False
O14662,True
O14669,True
O14672,True
O14678,True
O14681,False
O14682,False
O14684,True
O14686,True
O14713,True
O14717,True
O14727,True
O14730,True
O14732,True
O14733,True
O14734,False
O14735,False
O14737,True
O14744,True
O14745,True
O14746,True
O14756,False
O14757,True
O14763,True
O14764,True
O14770,True
O14771,False
O14772,False
O14773,True
O14775,True
O14776,True
O14777,True
O14782,True
O14786,True
O14787,False
O14788,True
O14791,True
O14792,True
O14793,True
O14795,False
O14796,True
O14798,False
O14802,True
O14804,False
O14807,True
O14810,True
O14813,False
O14815,True
O14817,False
O14818,True
O14827,False
O14828,False
O14829,False
O14830,False
O14832,True
O14836,True
O14842,True
O14843,True
O14862,True
O14863,True
O14867,True
O14874,True
O14879,True
O14880,False
O14893,True
O14894,False
O14896,False
O14901,False
O14904,False
O14905,False
O14907,True
O14908,False
O14910,False
O14917,True
O14920,True
O14924,True
O14925,False
O14926,False
O14929,True
O14931,True
O14933,True
O14936,True
O14939,True
O14944,True
O14948,False
O14949,True
O14950,False
O14958,True
O14960,True
O14964,True
O14965,True
O14966,True
O14967,False
O14972,True
O14974,True
O14975,False
O14976,True
O14977,True
O14978,False
O14979,True
O14980,True
O14981,False
O14983,False
O14986,False
O14994,True
O15013,False
O15014,True
O15015,False
O15018,False
O15020,True
O15021,True
O15027,False
O15031,True
O15033,True
O15040,False
O15041,False
O15042,False
O15047,True
O15049,False
O15054,True
O15055,True
O15056,True
O15060,False
O15061,True
O15062,True
O15066,True
O15067,False
O15068,False
O15072,False
O15075,True
O15078,False
O15079,False
O15083,False
O15084,False
O15085,True
O15091,True
O15105,True
O15111,True
O15116,False
O15117,True
O15118,True
O15119,True
O15120,False
O15121,False
O15123,True
O15126,False
O15127,False
O15130,True
O15131,True
O15143,True
O15144,True
O15145,True
O15146,True
O15151,True
O15155,True
O15156,False
O15160,True
O15162,True
O15164,True
O15165,False
O15169,True
O15173,False
O15178,True
O15182,False
O15194,True
O15195,False
O15197,True
O15198,True
O15204,False
O15205,True
O15209,False
O15211,True
O15212,True
O15213,True
O15217,True
O15218,False
O15226,True
O15228,False
O15229,True
O15230,True
O15231,False
O15232,False
O15234,True
O15239,True
O15240,True
O15243,False
O15244,True
O15245,True
O15247,True
O15254,False
O15258,False
O15259,True
O15260,False
O15263,True
O15264,True
O15265,True
O15266,False
O15269,True
O15270,True
O15273,True
O15287,True
O15294,True
O15296,True
O15297,True
O15303,False
O15304,False
O15305,True
O15315,True
O15318,True
O15327,False
O15342,True
O15344,True
O15347,True
O15350,True
O15353,True
O15354,False
O15355,False
O15357,True
O15360,True
O15370,False
O15371,True
O15372,True
O15374,False
O15379,True
O15381,True
O15382,True
O15389,True
O15391,False
O15392,True
O15393,True
O15394,True
O15397,False
O15399,True
O15400,False
O15405,False
O15409,True
O15417,True
O15427,False
O15431,True
O15432,False
O15438,True
O15439,True
O15440,True
O15444,False
O15446,True
