gene_symbol,ensembl_id,uniprot_id,gene_description,chromosome,protein_class,evidence,rna_tissue_specificity,rna_tissue_distribution
TSPAN6,ENSG00000000003,O43657,Tetraspanin 6,X,Predicted membrane proteins,Evidence at protein level,Low tissue specificity,Detected in many
TNMD,ENSG00000000005,Q9H2S6,Tenomodulin,X,Predicted membrane proteins,Evidence at protein level,Tissue enhanced,Detected in some
DPM1,ENSG00000000419,O60762,"Dolichyl-phosphate mannosyltransferase subunit 1, catalytic",20,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SCYL3,ENSG00000000457,Q8IZE3,SCY1 like pseudokinase 3,1,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
C1orf112,ENSG00000000460,Q9NSG2,Chromosome 1 open reading frame 112,1,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
FGR,ENSG00000000938,P09769,"FGR proto-oncogene, Src family tyrosine kinase",1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in many
CFH,ENSG00000000971,P08603,Complement factor H,1,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enriched,Detected in all
FUCA2,ENSG00000001036,Q9BTY2,Alpha-L-fucosidase 2,6,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in all
GCLC,ENSG00000001084,P48506,Glutamate-cysteine ligase catalytic subunit,6,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
NFYA,ENSG00000001167,P23511,Nuclear transcription factor Y subunit alpha,6,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
STPG1,ENSG00000001460,Q5TH74,Sperm tail PG-rich repeat containing 1,1,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
NIPAL3,ENSG00000001461,Q6P499,NIPA like domain containing 3,1,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
LAS1L,ENSG00000001497,Q9Y4W2,LAS1 like ribosome biogenesis factor,X,"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ENPP4,ENSG00000001561,Q9Y6X5,Ectonucleotide pyrophosphatase/phosphodiesterase 4,6,"Enzymes, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
SEMA3F,ENSG00000001617,Q13275,Semaphorin 3F,3,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in all
CFTR,ENSG00000001626,P13569,CF transmembrane conductance regulator,7,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
ANKIB1,ENSG00000001629,Q9P2G1,Ankyrin repeat and IBR domain containing 1,7,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
CYP51A1,ENSG00000001630,Q16850,Cytochrome P450 family 51 subfamily A member 1,7,"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in all
KRIT1,ENSG00000001631,O00522,KRIT1 ankyrin repeat containing,7,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
RAD52,ENSG00000002016,P43351,"RAD52 homolog, DNA repair protein",12,"Cancer-related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
BAD,ENSG00000002330,Q92934,BCL2 associated agonist of cell death,11,"Cancer-related genes, Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,Low tissue specificity,Detected in all
LAP3,ENSG00000002549,P28838,Leucine aminopeptidase 3,4,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
CD99,ENSG00000002586,P14209,CD99 molecule (Xg blood group),X,"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
HS3ST1,ENSG00000002587,O14792,Heparan sulfate-glucosamine 3-sulfotransferase 1,4,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
AOC1,ENSG00000002726,P19801,Amine oxidase copper containing 1,7,"Enzymes, Metabolic proteins, Predicted secreted proteins",Evidence at protein level,Group enriched,Detected in many
WNT16,ENSG00000002745,Q9UBV4,Wnt family member 16,7,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Group enriched,Detected in some
HECW1,ENSG00000002746,Q76N89,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",7,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in some
MAD1L1,ENSG00000002822,Q9Y6D9,Mitotic arrest deficient 1 like 1,7,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
LASP1,ENSG00000002834,Q14847,LIM and SH3 protein 1,17,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SNX11,ENSG00000002919,Q9Y5W9,Sorting nexin 11,17,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
TMEM176A,ENSG00000002933,Q96HP8,Transmembrane protein 176A,7,"Predicted membrane proteins, Transporters",Evidence at protein level,Group enriched,Detected in all
M6PR,ENSG00000003056,P20645,"Mannose-6-phosphate receptor, cation dependent",12,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
KLHL13,ENSG00000003096,Q9P2N7,Kelch like family member 13,X,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
CYP26B1,ENSG00000003137,Q9NR63,Cytochrome P450 family 26 subfamily B member 1,2,"Disease related genes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
ICA1,ENSG00000003147,Q05084,Islet cell autoantigen 1,7,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
DBNDD1,ENSG00000003249,Q9H9R9,Dysbindin domain containing 1,16,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
ALS2,ENSG00000003393,Q96Q42,Alsin Rho guanine nucleotide exchange factor ALS2,2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
CASP10,ENSG00000003400,Q92851,Caspase 10,2,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
CFLAR,ENSG00000003402,O15519,CASP8 and FADD like apoptosis regulator,2,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
TFPI,ENSG00000003436,P10646,Tissue factor pathway inhibitor,2,"Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in all
NDUFAF7,ENSG00000003509,Q7L592,NADH:ubiquinone oxidoreductase complex assembly factor 7,2,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
RBM5,ENSG00000003756,P52756,RNA binding motif protein 5,3,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
MTMR7,ENSG00000003987,Q9Y216,Myotubularin related protein 7,8,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
SLC7A2,ENSG00000003989,P52569,Solute carrier family 7 member 2,8,"Metabolic proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
ARF5,ENSG00000004059,P84085,ADP ribosylation factor 5,7,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SARM1,ENSG00000004139,Q6SZW1,Sterile alpha and TIR motif containing 1,17,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in many
POLDIP2,ENSG00000004142,Q9Y2S7,DNA polymerase delta interacting protein 2,17,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
PLXND1,ENSG00000004399,Q9Y4D7,Plexin D1,3,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
AK2,ENSG00000004455,P54819,Adenylate kinase 2,1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
CD38,ENSG00000004468,P28907,CD38 molecule,4,"Cancer-related genes, CD markers, Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
FKBP4,ENSG00000004478,Q02790,FKBP prolyl isomerase 4,12,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
KDM1A,ENSG00000004487,O60341,Lysine demethylase 1A,1,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
RBM6,ENSG00000004534,P78332,RNA binding motif protein 6,3,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
CAMKK1,ENSG00000004660,Q8N5S9,Calcium/calmodulin dependent protein kinase kinase 1,17,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
RECQL,ENSG00000004700,P46063,RecQ like helicase,12,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
VPS50,ENSG00000004766,Q96JG6,VPS50 subunit of EARP/GARPII complex,7,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
HSPB6,ENSG00000004776,O14558,Heat shock protein family B (small) member 6,19,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
